Date,Schl,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
3/19/15,Georgia State,Baylor,W 57-56,200,22,54,0.407,17,38,0.447,5,16,0.313,8,13,0.615,57
3/19/15,Ole Miss,Xavier,L 57-76,200,24,73,0.329,18,46,0.391,6,27,0.222,3,5,0.6,57
3/19/15,Utah,Stephen F. Austin,W 57-50,200,18,38,0.474,13,25,0.52,5,13,0.385,16,21,0.762,57
3/20/15,Louisville,UC-Irvine,W 57-55,200,23,55,0.418,18,40,0.45,5,15,0.333,6,6,1,57
3/27/15,Utah,Duke,L 57-63,200,21,60,0.35,17,44,0.386,4,16,0.25,11,15,0.733,57
3/18/11,Akron,Notre Dame,L 56-69,200,23,64,0.359,16,43,0.372,7,21,0.333,3,6,0.5,56
3/18/11,Georgetown,VCU,L 56-74,200,20,52,0.385,15,26,0.577,5,26,0.192,11,13,0.846,56
4/2/11,UConn,Kentucky,W 56-55,200,23,49,0.469,22,37,0.595,1,12,0.083,9,11,0.818,56
3/17/12,New Mexico,Louisville,L 56-59,200,23,58,0.397,18,35,0.514,5,23,0.217,5,8,0.625,56
3/18/12,Florida State,Cincinnati,L 56-62,200,19,50,0.38,13,33,0.394,6,17,0.353,12,15,0.8,56
3/18/12,South Florida,Ohio,L 56-62,200,20,46,0.435,18,31,0.581,2,15,0.133,14,19,0.737,56
3/21/13,Bucknell,Butler,L 56-68,200,23,62,0.371,18,46,0.391,5,16,0.313,5,8,0.625,56
3/21/13,S Dakota St.,Michigan,L 56-71,200,23,52,0.442,19,33,0.576,4,19,0.211,6,8,0.75,56
3/23/13,Colorado State,Louisville,L 56-82,200,19,40,0.475,14,28,0.5,5,12,0.417,13,21,0.619,56
4/6/13,Syracuse,Michigan,L 56-61,201,23,55,0.418,20,41,0.488,3,14,0.214,7,11,0.636,56
3/21/14,Kentucky,Kansas State,W 56-49,200,19,50,0.38,15,35,0.429,4,15,0.267,14,21,0.667,56
3/18/15,Dayton,Boise State,W 56-55,200,20,42,0.476,13,21,0.619,7,21,0.333,9,14,0.643,56
3/19/15,Arkansas,Wofford,W 56-53,200,22,48,0.458,19,40,0.475,3,8,0.375,9,16,0.563,56
3/19/15,Baylor,Georgia State,L 56-57,200,19,43,0.442,12,24,0.5,7,19,0.368,11,13,0.846,56
3/19/15,Butler,Texas,W 56-48,200,16,48,0.333,12,35,0.343,4,13,0.308,20,28,0.714,56
3/19/15,Hampton,Kentucky,L 56-79,200,17,59,0.288,13,43,0.302,4,16,0.25,18,23,0.783,56
3/20/15,Robert Morris,Duke,L 56-85,200,24,66,0.364,18,47,0.383,6,19,0.316,2,4,0.5,56
3/20/15,New Mexico St.,Kansas,L 56-75,200,20,56,0.357,15,41,0.366,5,15,0.333,11,16,0.688,56
3/18/11,Xavier,Marquette,L 55-66,200,21,51,0.412,19,38,0.5,2,13,0.154,11,15,0.733,55
4/2/11,Kentucky,UConn,L 55-56,200,21,62,0.339,12,35,0.343,9,27,0.333,4,12,0.333,55
3/20/13,LIU,James Madison,L 55-68,200,21,59,0.356,18,43,0.419,3,16,0.188,10,14,0.714,55
3/21/13,Oklahoma State,Oregon,L 55-68,200,21,52,0.404,16,35,0.457,5,17,0.294,8,15,0.533,55
3/21/13,Pitt,Wichita State,L 55-73,200,19,54,0.352,18,37,0.486,1,17,0.059,16,20,0.8,55
3/22/13,Oklahoma,San Diego State,L 55-70,200,23,58,0.397,18,37,0.486,5,21,0.238,4,8,0.5,55
3/30/13,Syracuse,Marquette,W 55-39,200,19,50,0.38,14,33,0.424,5,17,0.294,12,19,0.632,55
3/20/14,Albany (NY),Florida,L 55-67,200,20,51,0.392,16,38,0.421,4,13,0.308,11,14,0.786,55
3/22/14,Dayton,Syracuse,W 55-53,200,19,46,0.413,12,30,0.4,7,16,0.438,10,18,0.556,55
3/23/14,Creighton,Baylor,L 55-85,200,22,55,0.4,17,31,0.548,5,24,0.208,6,9,0.667,55
3/18/15,Boise State,Dayton,L 55-56,200,22,55,0.4,16,35,0.457,6,20,0.3,5,10,0.5,55
3/20/15,UC-Irvine,Louisville,L 55-57,200,24,52,0.462,19,38,0.5,5,14,0.357,2,2,1,55
3/24/11,Wisconsin,Butler,L 54-61,200,17,56,0.304,10,27,0.37,7,29,0.241,13,19,0.684,54
3/14/12,California,South Florida,L 54-65,200,21,58,0.362,18,44,0.409,3,14,0.214,9,14,0.643,54
3/15/12,West Virginia,Gonzaga,L 54-77,200,16,49,0.327,13,32,0.406,3,17,0.176,19,28,0.679,54
3/16/12,Memphis,Saint Louis,L 54-61,200,21,54,0.389,19,39,0.487,2,15,0.133,10,17,0.588,54
3/19/13,Middle Tenn.,Saint Mary's,L 54-67,200,22,52,0.423,18,40,0.45,4,12,0.333,6,7,0.857,54
3/21/13,Memphis,Saint Mary's,W 54-52,201,20,49,0.408,15,34,0.441,5,15,0.333,9,18,0.5,54
3/21/13,Valparaiso,Michigan State,L 54-65,199,19,54,0.352,12,29,0.414,7,25,0.28,9,14,0.643,54
3/30/14,Michigan State,UConn,L 54-60,200,18,46,0.391,7,17,0.412,11,29,0.379,7,8,0.875,54
4/7/14,Kentucky,UConn,L 54-60,200,18,46,0.391,13,30,0.433,5,16,0.313,13,24,0.542,54
3/20/15,Wyoming,Northern Iowa,L 54-71,200,21,46,0.457,12,24,0.5,9,22,0.409,3,9,0.333,54
3/22/15,Virginia,Michigan State,L 54-60,200,17,57,0.298,15,40,0.375,2,17,0.118,18,26,0.692,54
3/18/11,Boston U.,Kansas,L 53-72,200,18,51,0.353,9,26,0.346,9,25,0.36,8,12,0.667,53
4/4/11,UConn,Butler,W 53-41,200,19,55,0.345,18,44,0.409,1,11,0.091,14,16,0.875,53
3/17/12,Murray State,Marquette,L 53-62,200,20,64,0.313,16,43,0.372,4,21,0.19,9,10,0.9,53
3/23/13,VCU,Michigan,L 53-78,200,23,58,0.397,20,42,0.476,3,16,0.188,4,6,0.667,53
3/20/14,Milwaukee,Villanova,L 53-73,200,18,63,0.286,12,39,0.308,6,24,0.25,11,15,0.733,53
3/20/14,Western Mich.,Syracuse,L 53-77,200,17,49,0.347,13,31,0.419,4,18,0.222,15,20,0.75,53
3/21/14,New Mexico,Stanford,L 53-58,201,19,52,0.365,15,31,0.484,4,21,0.19,11,19,0.579,53
3/22/14,Syracuse,Dayton,L 53-55,200,21,54,0.389,21,44,0.477,0,10,0,11,14,0.786,53
4/5/14,Florida,UConn,L 53-63,200,19,49,0.388,18,39,0.462,1,10,0.1,14,20,0.7,53
3/19/15,Wofford,Arkansas,L 53-56,200,18,57,0.316,11,33,0.333,7,24,0.292,10,16,0.625,53
3/20/15,Providence,Dayton,L 53-66,200,20,59,0.339,10,33,0.303,10,26,0.385,3,7,0.429,53
3/22/15,Northern Iowa,Louisville,L 53-66,200,18,46,0.391,12,27,0.444,6,19,0.316,11,13,0.846,53
3/15/11,UAB,Clemson,L 52-70,200,18,48,0.375,6,24,0.25,12,24,0.5,4,7,0.571,52
3/17/11,Bucknell,UConn,L 52-81,200,16,51,0.314,9,30,0.3,7,21,0.333,13,15,0.867,52
3/21/13,Saint Mary's,Memphis,L 52-54,201,19,58,0.328,16,43,0.372,3,15,0.2,11,14,0.786,52
3/24/13,Temple,Indiana,L 52-58,200,21,62,0.339,18,38,0.474,3,24,0.125,7,8,0.875,52
3/27/14,Baylor,Wisconsin,L 52-69,200,18,57,0.316,16,42,0.381,2,15,0.133,14,18,0.778,52
3/29/14,Dayton,Florida,L 52-62,200,19,48,0.396,11,30,0.367,8,18,0.444,6,8,0.75,52
3/19/15,Lafayette,Villanova,L 52-93,200,21,55,0.382,17,37,0.459,4,18,0.222,6,7,0.857,52
3/20/15,Davidson,Iowa,L 52-83,200,21,63,0.333,15,35,0.429,6,28,0.214,4,10,0.4,52
3/29/15,Gonzaga,Duke,L 52-66,200,22,50,0.44,20,40,0.5,2,10,0.2,6,9,0.667,52
3/17/11,UCSB,Florida,L 51-79,200,17,47,0.362,12,28,0.429,5,19,0.263,12,18,0.667,51
3/17/11,UNC Asheville,Pitt,L 51-74,200,17,55,0.309,14,36,0.389,3,19,0.158,14,19,0.737,51
3/23/13,Harvard,Arizona,L 51-74,200,16,58,0.276,11,40,0.275,5,18,0.278,14,19,0.737,51
3/22/14,Saint Louis,Louisville,L 51-66,200,21,53,0.396,21,38,0.553,0,15,0,9,16,0.563,51
3/21/15,Cincinnati,Kentucky,L 51-64,199,20,63,0.317,18,49,0.367,2,14,0.143,9,14,0.643,51
3/17/11,Northern Colo.,San Diego State,L 50-68,200,19,56,0.339,11,34,0.324,8,22,0.364,4,8,0.5,50
3/18/11,Texas A&M,Florida State,L 50-57,200,16,51,0.314,7,26,0.269,9,25,0.36,9,19,0.474,50
3/16/12,Detroit,Kansas,L 50-65,200,20,63,0.317,17,46,0.37,3,17,0.176,7,14,0.5,50
3/18/12,Norfolk State,Florida,L 50-84,200,18,66,0.273,14,42,0.333,4,24,0.167,10,13,0.769,50
3/24/13,Creighton,Duke,L 50-66,200,16,53,0.302,14,34,0.412,2,19,0.105,16,18,0.889,50
3/28/13,Indiana,Syracuse,L 50-61,203,16,47,0.34,13,32,0.406,3,15,0.2,15,24,0.625,50
3/29/13,Fla. Gulf Coast,Florida,L 50-62,200,20,44,0.455,16,33,0.485,4,11,0.364,6,11,0.545,50
3/19/15,Stephen F. Austin,Utah,L 50-57,199,17,51,0.333,12,25,0.48,5,26,0.192,11,13,0.846,50
3/15/12,Montana,Wisconsin,L 49-73,200,18,47,0.383,15,38,0.395,3,9,0.333,10,15,0.667,49
3/22/13,Colorado,Illinois,L 49-57,200,17,51,0.333,12,32,0.375,5,19,0.263,10,13,0.769,49
3/22/13,Pacific,Miami (FL),L 49-78,200,18,54,0.333,9,28,0.321,9,26,0.346,4,11,0.364,49
3/21/14,Kansas State,Kentucky,L 49-56,200,19,53,0.358,14,32,0.438,5,21,0.238,6,12,0.5,49
3/22/15,San Diego State,Duke,L 49-68,200,19,58,0.328,17,45,0.378,2,13,0.154,9,11,0.818,49
3/19/11,Morehead State,Richmond,L 48-65,200,18,48,0.375,16,34,0.471,2,14,0.143,10,15,0.667,48
3/21/13,N.C. A&T,Louisville,L 48-79,200,17,41,0.415,11,25,0.44,6,16,0.375,8,10,0.8,48
3/23/13,Memphis,Michigan State,L 48-70,200,19,64,0.297,14,41,0.341,5,23,0.217,5,10,0.5,48
3/20/14,Colorado,Pitt,L 48-77,200,15,42,0.357,11,26,0.423,4,16,0.25,14,18,0.778,48
3/19/15,Texas,Butler,L 48-56,200,17,50,0.34,11,31,0.355,6,19,0.316,8,12,0.667,48
3/22/13,NW St.,Florida,L 47-79,200,18,50,0.36,15,34,0.441,3,16,0.188,8,11,0.727,47
3/16/11,USC,VCU,L 46-59,200,15,38,0.395,14,29,0.483,1,9,0.111,15,25,0.6,46
3/18/11,UTSA,Ohio State,L 46-75,200,18,53,0.34,14,36,0.389,4,17,0.235,6,7,0.857,46
3/22/13,Wisconsin,Ole Miss,L 46-57,200,15,59,0.254,8,29,0.276,7,30,0.233,9,13,0.692,46
3/18/11,Hampton,Duke,L 45-87,200,19,55,0.345,15,41,0.366,4,14,0.286,3,7,0.429,45
3/18/11,Tennessee,Michigan,L 45-75,200,15,43,0.349,12,25,0.48,3,18,0.167,12,16,0.75,45
3/16/12,Virginia,Florida,L 45-71,200,18,47,0.383,15,29,0.517,3,18,0.167,6,10,0.6,45
3/22/14,Pitt,Florida,L 45-61,200,19,51,0.373,15,34,0.441,4,17,0.235,3,6,0.5,45
3/16/12,Temple,South Florida,L 44-58,200,15,42,0.357,13,30,0.433,2,12,0.167,12,16,0.75,44
3/22/12,Michigan State,Louisville,L 44-57,200,14,49,0.286,9,28,0.321,5,21,0.238,11,12,0.917,44
3/21/13,New Mexico St.,Saint Louis,L 44-64,200,17,61,0.279,15,45,0.333,2,16,0.125,8,13,0.615,44
3/22/14,North Dakota St.,San Diego State,L 44-63,200,15,47,0.319,13,36,0.361,2,11,0.182,12,17,0.706,44
3/18/11,St. Peter's,Purdue,L 43-65,200,17,58,0.293,12,37,0.324,5,21,0.238,4,6,0.667,43
3/21/13,Akron,VCU,L 42-88,200,15,43,0.349,14,30,0.467,1,13,0.077,11,19,0.579,42
4/4/11,Butler,UConn,L 41-53,200,12,64,0.188,3,31,0.097,9,33,0.273,8,14,0.571,41
3/15/12,Colorado State,Murray State,L 41-58,200,16,48,0.333,13,34,0.382,3,14,0.214,6,9,0.667,41
3/20/14,Wofford,Michigan,L 40-57,200,18,53,0.34,17,34,0.5,1,19,0.053,3,4,0.75,40
3/30/13,Marquette,Syracuse,L 39-55,200,12,53,0.226,9,28,0.321,3,25,0.12,12,16,0.75,39
3/26/15,West Virginia,Kentucky,L 39-78,200,13,54,0.241,11,39,0.282,2,15,0.133,11,19,0.579,39
3/21/14,Cal Poly,Wichita State,L 37-64,200,12,58,0.207,7,30,0.233,5,28,0.179,8,18,0.444,37
3/20/14,American,Wisconsin,L 35-75,200,11,37,0.297,7,22,0.318,4,15,0.267,9,15,0.6,35
3/21/13,Montana,Syracuse,L 34-81,200,11,54,0.204,7,23,0.304,4,31,0.129,8,12,0.667,34
