Date,Schl,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
3/26/11,Arizona,UConn,L 63-65,200,24,61,0.393,20,40,0.5,4,21,0.19,11,16,0.688,63
3/16/12,St. Bonaventure,Florida State,L 63-66,200,23,57,0.404,16,43,0.372,7,14,0.5,10,13,0.769,63
3/16/12,Notre Dame,Xavier,L 63-67,200,25,49,0.51,16,28,0.571,9,21,0.429,4,9,0.444,63
3/17/12,Colorado,Baylor,L 63-80,200,23,51,0.451,18,36,0.5,5,15,0.333,12,18,0.667,63
3/17/12,Indiana,VCU,W 63-61,200,24,46,0.522,18,33,0.545,6,13,0.462,9,11,0.818,63
3/18/12,Georgetown,NC State,L 63-66,200,21,51,0.412,13,26,0.5,8,25,0.32,13,17,0.765,63
3/18/12,Kansas,Purdue,W 63-60,200,21,62,0.339,15,38,0.395,6,24,0.25,15,23,0.652,63
3/22/12,Wisconsin,Syracuse,L 63-64,200,21,49,0.429,7,22,0.318,14,27,0.519,7,12,0.583,63
3/22/13,Cincinnati,Creighton,L 63-67,200,27,64,0.422,22,44,0.5,5,20,0.25,4,9,0.444,63
3/22/13,La Salle,Kansas State,W 63-61,200,21,49,0.429,14,31,0.452,7,18,0.389,14,16,0.875,63
3/22/13,UCLA,Minnesota,L 63-83,200,20,63,0.317,16,41,0.39,4,22,0.182,19,25,0.76,63
3/24/13,Miami (FL),Illinois,W 63-59,200,22,55,0.4,13,30,0.433,9,25,0.36,10,15,0.667,63
3/31/13,Duke,Louisville,L 63-85,200,19,52,0.365,15,36,0.417,4,16,0.25,21,28,0.75,63
3/22/14,San Diego State,North Dakota St.,W 63-44,200,19,44,0.432,12,28,0.429,7,16,0.438,18,24,0.75,63
3/23/14,Mercer,Tennessee,L 63-83,200,24,53,0.453,16,31,0.516,8,22,0.364,7,9,0.778,63
3/29/14,Arizona,Wisconsin,L 63-64 (OT),225,23,59,0.39,18,47,0.383,5,12,0.417,12,17,0.706,63
4/5/14,UConn,Florida,W 63-53,200,24,43,0.558,19,31,0.613,5,12,0.417,10,13,0.769,63
3/20/15,Georgia,Michigan State,L 63-70,200,19,57,0.333,15,43,0.349,4,14,0.286,21,26,0.808,63
3/27/15,Duke,Utah,W 63-57,200,20,45,0.444,17,36,0.472,3,9,0.333,20,26,0.769,63
4/6/15,Wisconsin,Duke,L 63-68,200,25,61,0.41,18,40,0.45,7,21,0.333,6,10,0.6,63
3/17/11,Morehead State,Louisville,W 62-61,200,21,57,0.368,12,38,0.316,9,19,0.474,11,18,0.611,62
3/18/11,UNLV,Illinois,L 62-73,200,21,54,0.389,14,30,0.467,7,24,0.292,13,19,0.684,62
3/20/11,Syracuse,Marquette,L 62-66,200,26,47,0.553,21,32,0.656,5,15,0.333,5,7,0.714,62
