"team1","team2","Result","outcome","Year.x","Year.x.x","Rk.x","G.x","W.x","L.x","W.L..x","SRS.x","SOS.x","W.1.x","L.1.x","W.2.x","L.2.x","W.3.x","L.3.x","Tm..x","Opp..x","X.x","MP.x","FG.x","FGA.x","FG..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","Year.y","Rk.y","G.y","W.y","L.y","W.L..y","SRS.y","SOS.y","W.1.y","L.1.y","W.2.y","L.2.y","W.3.y","L.3.y","Tm..y","Opp..y","X.y","MP.y","FG.y","FGA.y","FG..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y"
"Tennessee","Colgate","W 77-70",1,19,17,303,32,16,16,0.5,11.28,10.18,8,10,11,6,4,7,2383,2335,NA,1285,803,1903,0.422,189,579,0.326,588,807,0.729,388,1206,441,175,146,399,670,17,61,32,10,22,0.313,-8.47,-3.6,8,10,4,8,6,12,2145,2273,NA,1305,745,1693,0.44,271,732,0.37,384,567,0.677,263,1037,414,164,82,470,603
"Iowa","Tennessee","L 77-83 (OT)",0,19,17,133,34,19,15,0.559,10.01,7.54,10,8,15,5,3,7,2738,2654,NA,1395,964,2121,0.455,300,791,0.379,510,741,0.688,408,1306,602,252,130,472,608,17,303,32,16,16,0.5,11.28,10.18,8,10,11,6,4,7,2383,2335,NA,1285,803,1903,0.422,189,579,0.326,588,807,0.729,388,1206,441,175,146,399,670
"Auburn","Kentucky","W 77-71 (OT)",1,19,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668,17,144,38,32,6,0.842,23.88,10.49,16,2,15,2,7,3,3225,2716,NA,1525,1134,2396,0.473,267,757,0.353,690,980,0.704,470,1512,585,229,200,443,716
"Texas Tech","Virginia","L 77-85 (OT)",0,19,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556
"Louisville","Minnesota","L 76-86",0,19,17,158,34,25,9,0.735,22.47,11.15,12,6,16,1,5,5,2628,2243,NA,1370,952,2085,0.457,238,670,0.355,486,708,0.686,457,1343,461,227,186,374,652,17,181,34,24,10,0.706,14.56,8.82,11,7,17,3,5,5,2556,2361,NA,1390,887,2037,0.435,209,610,0.343,573,806,0.711,378,1341,507,194,227,393,577
"Florida State","Vermont","W 76-69",1,19,17,96,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,NA,1400,1036,2146,0.483,233,671,0.347,568,824,0.689,409,1324,511,259,180,415,684,17,326,35,29,6,0.829,6.67,-3.27,16,0,16,1,11,3,2571,2174,NA,1400,943,1909,0.494,229,621,0.369,456,651,0.7,326,1192,476,199,151,392,555
"Michigan State","Bradley","W 76-65",1,19,17,177,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,NA,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699,17,30,33,13,20,0.394,-2.84,2.94,7,11,8,7,3,10,2163,2333,NA,1325,731,1722,0.425,217,609,0.356,484,719,0.673,297,1156,372,203,118,499,672
"Kansas","Auburn","L 75-89",0,19,17,141,36,31,5,0.861,23.53,12.23,16,2,14,1,10,1,2995,2588,NA,1455,1071,2193,0.488,318,787,0.404,535,789,0.678,428,1393,584,250,162,456,639,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668
"Duke","Virginia Tech","W 75-73",1,19,17,80,37,28,9,0.757,21.56,10.91,11,7,15,1,4,6,2991,2597,NA,1480,1019,2144,0.475,311,822,0.378,642,842,0.762,390,1341,484,226,172,421,675,17,330,33,22,11,0.667,12.77,8.38,10,8,15,2,4,6,2610,2465,NA,1330,887,1813,0.489,290,720,0.403,546,741,0.737,240,1068,497,131,91,398,543
"Texas Tech","Gonzaga","W 75-69",1,19,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562,17,109,39,37,2,0.949,25.26,4.13,17,1,15,1,10,0,3222,2398,NA,1560,1149,2280,0.504,286,749,0.382,638,890,0.717,378,1587,595,265,183,448,660
"Purdue","Virginia","L 75-80 (OT)",0,19,17,248,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,NA,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556
"Arizona State","St. John's (NY)","W 74-65",1,19,17,12,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,2593,2695,NA,1325,888,2047,0.434,328,896,0.366,489,653,0.749,304,1075,430,194,106,344,556,17,293,33,14,19,0.424,6.45,8.39,7,11,9,5,4,9,2534,2598,NA,1320,866,2000,0.433,278,763,0.364,524,724,0.724,337,1136,446,224,197,433,688
"Michigan","Montana","W 74-55",1,19,17,178,38,26,12,0.684,18.8,10.17,10,8,15,3,3,8,2851,2523,NA,1535,1002,2076,0.483,361,937,0.385,486,624,0.779,280,1111,527,220,108,348,571,17,190,32,16,16,0.5,-2.67,-4.02,11,7,8,5,7,8,2391,2348,NA,1290,843,1879,0.449,238,667,0.357,467,621,0.752,310,1084,416,181,91,345,699
"Arizona State","Buffalo","L 74-91",0,19,17,12,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,2593,2695,NA,1325,888,2047,0.434,328,896,0.366,489,653,0.749,304,1075,430,194,106,344,556,17,35,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,2486,2375,NA,1285,877,1945,0.451,240,727,0.33,492,711,0.692,397,1295,459,181,127,453,735
"Houston","Ohio State","W 74-59",1,19,17,121,32,21,11,0.656,12.2,3.42,12,6,12,4,6,5,2358,2077,NA,1285,850,1902,0.447,268,681,0.394,390,544,0.717,362,1138,406,170,113,315,601,17,229,32,17,15,0.531,10.31,7.28,7,11,13,6,4,7,2329,2232,NA,1285,827,1786,0.463,211,592,0.356,464,680,0.682,324,1191,434,166,121,423,562
"Iona","North Carolina","L 73-88",0,19,17,131,35,22,13,0.629,1.08,-2.47,12,8,8,4,7,7,2813,2689,NA,1415,979,2155,0.454,342,862,0.397,513,668,0.768,337,1250,541,239,108,421,669,17,214,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711
"Oregon","UC-Irvine","W 73-54",1,19,17,236,39,33,6,0.846,20.8,8.38,16,2,17,0,7,3,3076,2565,NA,1565,1091,2270,0.481,334,880,0.38,560,787,0.712,412,1431,614,253,248,454,614,17,42,36,21,15,0.583,0.18,-2.7,12,4,11,2,8,9,2514,2331,NA,1450,915,2062,0.444,265,734,0.361,419,611,0.686,402,1429,460,176,154,481,748
"Virginia Tech","Duke","L 73-75",0,19,17,330,33,22,11,0.667,12.77,8.38,10,8,15,2,4,6,2610,2465,NA,1330,887,1813,0.489,290,720,0.403,546,741,0.737,240,1068,497,131,91,398,543,17,80,37,28,9,0.757,21.56,10.91,11,7,15,1,4,6,2991,2597,NA,1480,1019,2144,0.475,311,822,0.378,642,842,0.762,390,1341,484,226,172,421,675
"Cincinnati","Iowa","L 72-79",0,19,17,56,36,30,6,0.833,18.43,5.49,16,2,18,0,8,3,2674,2208,NA,1450,969,2116,0.458,264,764,0.346,472,688,0.686,437,1328,557,261,173,361,566,17,133,34,19,15,0.559,10.01,7.54,10,8,15,5,3,7,2738,2654,NA,1395,964,2121,0.455,300,791,0.379,510,741,0.688,408,1306,602,252,130,472,608
"Texas Tech","Northern Kentucky","W 72-57",1,19,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562,17,224,35,24,11,0.686,-0.17,-2.84,12,6,12,2,8,7,2659,2507,NA,1400,928,2037,0.456,300,859,0.349,503,740,0.68,391,1319,486,200,98,468,622
"Oregon","Wisconsin","W 72-54",1,19,17,236,39,33,6,0.846,20.8,8.38,16,2,17,0,7,3,3076,2565,NA,1565,1091,2270,0.481,334,880,0.38,560,787,0.712,412,1431,614,253,248,454,614,17,345,37,27,10,0.73,19.4,9.4,12,6,15,2,5,5,2678,2308,NA,1500,971,2135,0.455,283,788,0.359,453,703,0.644,460,1377,504,250,130,411,602
"Gonzaga","Florida State","W 72-58",1,19,17,109,39,37,2,0.949,25.26,4.13,17,1,15,1,10,0,3222,2398,NA,1560,1149,2280,0.504,286,749,0.382,638,890,0.717,378,1587,595,265,183,448,660,17,96,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,NA,1400,1036,2146,0.483,233,671,0.347,568,824,0.689,409,1324,511,259,180,415,684
"Virginia","Gardner-Webb","W 71-56",1,19,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556,17,101,33,19,14,0.576,-3.08,-5.71,11,7,9,5,8,8,2546,2319,NA,1345,913,1905,0.479,209,552,0.379,511,819,0.624,372,1259,486,291,118,474,670
"Baylor","Gonzaga","L 71-83",0,19,17,22,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,NA,1400,921,1956,0.471,230,641,0.359,478,661,0.723,451,1329,544,180,166,469,617,17,109,39,37,2,0.949,25.26,4.13,17,1,15,1,10,0,3222,2398,NA,1560,1149,2280,0.504,286,749,0.382,638,890,0.717,378,1587,595,265,183,448,660
"Kentucky","Auburn","L 71-77 (OT)",0,19,17,144,38,32,6,0.842,23.88,10.49,16,2,15,2,7,3,3225,2716,NA,1525,1134,2396,0.473,267,757,0.353,690,980,0.704,470,1512,585,229,200,443,716,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668
"Temple","Belmont","L 70-81",0,19,17,299,32,16,16,0.5,4.84,5.09,7,11,9,7,4,8,2269,2277,NA,1295,808,1916,0.422,287,807,0.356,366,506,0.723,320,1096,464,208,128,365,584,17,23,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,NA,1205,798,1703,0.469,306,895,0.342,400,521,0.768,254,1057,481,131,80,380,531
"Florida","Nevada","W 70-61",1,19,17,97,36,27,9,0.75,22.4,11.01,14,4,9,1,8,4,2804,2394,NA,1455,953,2118,0.45,278,776,0.358,620,851,0.729,416,1331,450,272,167,431,661,17,199,35,28,7,0.8,10.49,2.03,14,4,13,1,8,4,2792,2496,NA,1405,933,2082,0.448,320,837,0.382,606,859,0.705,386,1351,559,189,152,386,581
"UC-Irvine","Kansas State","W 70-64",1,19,17,42,36,21,15,0.583,0.18,-2.7,12,4,11,2,8,9,2514,2331,NA,1450,915,2062,0.444,265,734,0.361,419,611,0.686,402,1429,460,176,154,481,748,17,140,35,21,14,0.6,14.8,10.48,8,10,11,5,5,6,2523,2372,NA,1405,869,1883,0.461,247,683,0.362,538,775,0.694,330,1132,521,271,130,453,630
"Colgate","Tennessee","L 70-77",0,19,17,61,32,10,22,0.313,-8.47,-3.6,8,10,4,8,6,12,2145,2273,NA,1305,745,1693,0.44,271,732,0.37,384,567,0.677,263,1037,414,164,82,470,603,17,303,32,16,16,0.5,11.28,10.18,8,10,11,6,4,7,2383,2335,NA,1285,803,1903,0.422,189,579,0.326,588,807,0.729,388,1206,441,175,146,399,670
"Michigan State","Minnesota","W 70-50",1,19,17,177,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,NA,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699,17,181,34,24,10,0.706,14.56,8.82,11,7,17,3,5,5,2556,2361,NA,1390,887,2037,0.435,209,610,0.343,573,806,0.711,378,1341,507,194,227,393,577
"Vermont","Florida State","L 69-76",0,19,17,326,35,29,6,0.829,6.67,-3.27,16,0,16,1,11,3,2571,2174,NA,1400,943,1909,0.494,229,621,0.369,456,651,0.7,326,1192,476,199,151,392,555,17,96,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,NA,1400,1036,2146,0.483,233,671,0.347,568,824,0.689,409,1324,511,259,180,415,684
"Syracuse","Baylor","L 69-78",0,19,17,298,34,19,15,0.559,13.7,8.47,10,8,17,4,2,8,2594,2416,NA,1370,894,1950,0.458,300,791,0.379,506,685,0.739,363,1183,532,275,159,418,542,17,22,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,NA,1400,921,1956,0.471,230,641,0.359,478,661,0.723,451,1329,544,180,166,469,617
"Gonzaga","Texas Tech","L 69-75",0,19,17,109,39,37,2,0.949,25.26,4.13,17,1,15,1,10,0,3222,2398,NA,1560,1149,2280,0.504,286,749,0.382,638,890,0.717,378,1587,595,265,183,448,660,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562
"Seton Hall","Wofford","L 68-84",0,19,17,273,33,21,12,0.636,12.1,9.25,10,8,12,2,4,6,2417,2323,NA,1335,872,1949,0.447,202,598,0.338,471,733,0.643,439,1311,405,228,82,449,613,17,346,33,16,17,0.485,-0.71,-1.08,10,8,11,2,4,10,2593,2479,NA,1350,900,1926,0.467,311,771,0.403,482,619,0.779,323,1105,552,185,71,405,614
"Michigan State","Duke","W 68-67",1,19,17,177,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,NA,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699,17,80,37,28,9,0.757,21.56,10.91,11,7,15,1,4,6,2991,2597,NA,1480,1019,2144,0.475,311,822,0.378,642,842,0.762,390,1341,484,226,172,421,675
"Virginia Tech","Liberty","W 67-58",1,19,17,330,33,22,11,0.667,12.77,8.38,10,8,15,2,4,6,2610,2465,NA,1330,887,1813,0.489,290,720,0.403,546,741,0.737,240,1068,497,131,91,398,543,17,149,35,21,14,0.6,-5.51,-6.16,14,4,14,5,7,8,2331,2220,NA,1415,779,1787,0.436,319,888,0.359,454,612,0.742,173,990,453,229,65,363,670
"Duke","Michigan State","L 67-68",0,19,17,80,37,28,9,0.757,21.56,10.91,11,7,15,1,4,6,2991,2597,NA,1480,1019,2144,0.475,311,822,0.378,642,842,0.762,390,1341,484,226,172,421,675,17,177,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,NA,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699
"Virginia Tech","Saint Louis","W 66-52",1,19,17,330,33,22,11,0.667,12.77,8.38,10,8,15,2,4,6,2610,2465,NA,1330,887,1813,0.489,290,720,0.403,546,741,0.737,240,1068,497,131,91,398,543,17,261,33,12,21,0.364,-6.09,1.85,6,12,10,8,1,10,2026,2288,NA,1330,700,1733,0.404,230,672,0.342,396,597,0.663,279,1093,423,164,95,441,639
"St. John's (NY)","Arizona State","L 65-74",0,19,17,293,33,14,19,0.424,6.45,8.39,7,11,9,5,4,9,2534,2598,NA,1320,866,2000,0.433,278,763,0.364,524,724,0.724,337,1136,446,224,197,433,688,17,12,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,2593,2695,NA,1325,888,2047,0.434,328,896,0.366,489,653,0.749,304,1075,430,194,106,344,556
"Bradley","Michigan State","L 65-76",0,19,17,30,33,13,20,0.394,-2.84,2.94,7,11,8,7,3,10,2163,2333,NA,1325,731,1722,0.425,217,609,0.356,484,719,0.673,297,1156,372,203,118,499,672,17,177,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,NA,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699
"Marquette","Murray State","L 64-83",0,19,17,165,32,19,13,0.594,15.26,8.6,10,8,14,3,4,6,2631,2418,NA,1285,919,1888,0.487,336,783,0.429,457,585,0.781,280,1058,525,231,115,396,620,17,194,33,16,17,0.485,-3.06,-4.41,8,8,10,4,3,11,2639,2543,NA,1350,899,2040,0.441,289,803,0.36,552,751,0.735,399,1243,458,198,75,403,659
"Kansas State","UC-Irvine","L 64-70",0,19,17,140,35,21,14,0.6,14.8,10.48,8,10,11,5,5,6,2523,2372,NA,1405,869,1883,0.461,247,683,0.362,538,775,0.694,330,1132,521,271,130,453,630,17,42,36,21,15,0.583,0.18,-2.7,12,4,11,2,8,9,2514,2331,NA,1450,915,2062,0.444,265,734,0.361,419,611,0.686,402,1429,460,176,154,481,748
"Michigan","Florida","W 64-49",1,19,17,178,38,26,12,0.684,18.8,10.17,10,8,15,3,3,8,2851,2523,NA,1535,1002,2076,0.483,361,937,0.385,486,624,0.779,280,1111,527,220,108,348,571,17,97,36,27,9,0.75,22.4,11.01,14,4,9,1,8,4,2804,2394,NA,1455,953,2118,0.45,278,776,0.358,620,851,0.729,416,1331,450,272,167,431,661
"Virginia","Oklahoma","W 63-51",1,19,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556,17,232,31,11,20,0.355,11.42,12.62,5,13,8,7,1,9,2262,2299,NA,1265,788,1863,0.423,192,558,0.344,494,685,0.721,361,1173,328,213,147,428,602
"Texas Tech","Michigan","W 63-44",1,19,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562,17,178,38,26,12,0.684,18.8,10.17,10,8,15,3,3,8,2851,2523,NA,1535,1002,2076,0.483,361,937,0.385,486,624,0.779,280,1111,527,220,108,348,571
"Virginia","Auburn","W 63-62",1,19,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668
"Ohio State","Iowa State","W 62-59",1,19,17,229,32,17,15,0.531,10.31,7.28,7,11,13,6,4,7,2329,2232,NA,1285,827,1786,0.463,211,592,0.356,464,680,0.682,324,1191,434,166,121,423,562,17,132,35,24,11,0.686,20.51,11.94,12,6,12,3,5,6,2829,2529,NA,1425,1031,2186,0.472,344,860,0.4,423,604,0.7,318,1219,553,272,124,355,557
"Kentucky","Wofford","W 62-56",1,19,17,144,38,32,6,0.842,23.88,10.49,16,2,15,2,7,3,3225,2716,NA,1525,1134,2396,0.473,267,757,0.353,690,980,0.704,470,1512,585,229,200,443,716,17,346,33,16,17,0.485,-0.71,-1.08,10,8,11,2,4,10,2593,2479,NA,1350,900,1926,0.467,311,771,0.403,482,619,0.779,323,1105,552,185,71,405,614
"Murray State","Florida State","L 62-90",0,19,17,194,33,16,17,0.485,-3.06,-4.41,8,8,10,4,3,11,2639,2543,NA,1350,899,2040,0.441,289,803,0.36,552,751,0.735,399,1243,458,198,75,403,659,17,96,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,NA,1400,1036,2146,0.483,233,671,0.347,568,824,0.689,409,1324,511,259,180,415,684
"Kentucky","Houston","W 62-58",1,19,17,144,38,32,6,0.842,23.88,10.49,16,2,15,2,7,3,3225,2716,NA,1525,1134,2396,0.473,267,757,0.353,690,980,0.704,470,1512,585,229,200,443,716,17,121,32,21,11,0.656,12.2,3.42,12,6,12,4,6,5,2358,2077,NA,1285,850,1902,0.447,268,681,0.394,390,544,0.717,362,1138,406,170,113,315,601
"Auburn","Virginia","L 62-63",0,19,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556
"Nevada","Florida","L 61-70",0,19,17,199,35,28,7,0.8,10.49,2.03,14,4,13,1,8,4,2792,2496,NA,1405,933,2082,0.448,320,837,0.382,606,859,0.705,386,1351,559,189,152,386,581,17,97,36,27,9,0.75,22.4,11.01,14,4,9,1,8,4,2804,2394,NA,1455,953,2118,0.45,278,776,0.358,620,851,0.729,416,1331,450,272,167,431,661
"Villanova","Saint Mary's (CA)","W 61-57",1,19,17,327,36,32,4,0.889,23.8,9.28,15,3,14,1,9,2,2779,2256,NA,1440,965,1948,0.495,311,843,0.369,538,681,0.79,316,1208,505,259,109,402,515,17,262,34,29,5,0.853,16.75,2.19,16,2,15,2,10,1,2449,1954,NA,1360,892,1797,0.496,293,744,0.394,372,499,0.745,324,1205,563,143,110,365,512
"Purdue","Old Dominion","W 61-48",1,19,17,248,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,NA,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552,17,233,31,19,12,0.613,1.94,-1.35,12,6,11,4,7,5,1998,1896,NA,1250,727,1765,0.412,157,485,0.324,387,602,0.643,412,1190,422,196,142,348,566
"Utah State","Washington","L 61-78",0,19,17,321,32,15,17,0.469,2.9,2.46,7,11,11,5,3,8,2337,2248,NA,1285,828,1779,0.465,245,646,0.379,436,624,0.699,256,1144,492,159,92,391,605,17,335,31,9,22,0.29,2.15,6.82,2,16,7,9,1,11,2368,2513,NA,1245,874,1949,0.448,226,639,0.354,394,602,0.654,401,1161,408,187,171,425,628
"Villanova","Purdue","L 61-87",0,19,17,327,36,32,4,0.889,23.8,9.28,15,3,14,1,9,2,2779,2256,NA,1440,965,1948,0.495,311,843,0.369,538,681,0.79,316,1208,505,259,109,402,515,17,248,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,NA,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552
"Texas Tech","Michigan State","W 61-51",1,19,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562,17,177,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,NA,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699
"Iowa State","Ohio State","L 59-62",0,19,17,132,35,24,11,0.686,20.51,11.94,12,6,12,3,5,6,2829,2529,NA,1425,1031,2186,0.472,344,860,0.4,423,604,0.7,318,1219,553,272,124,355,557,17,229,32,17,15,0.531,10.31,7.28,7,11,13,6,4,7,2329,2232,NA,1285,827,1786,0.463,211,592,0.356,464,680,0.682,324,1191,434,166,121,423,562
"Washington","North Carolina","L 59-81",0,19,17,335,31,9,22,0.29,2.15,6.82,2,16,7,9,1,11,2368,2513,NA,1245,874,1949,0.448,226,639,0.354,394,602,0.654,401,1161,408,187,171,425,628,17,214,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711
"Ohio State","Houston","L 59-74",0,19,17,229,32,17,15,0.531,10.31,7.28,7,11,13,6,4,7,2329,2232,NA,1285,827,1786,0.463,211,592,0.356,464,680,0.682,324,1191,434,166,121,423,562,17,121,32,21,11,0.656,12.2,3.42,12,6,12,4,6,5,2358,2077,NA,1285,850,1902,0.447,268,681,0.394,390,544,0.717,362,1138,406,170,113,315,601
"Buffalo","Texas Tech","L 58-78",0,19,17,35,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,2486,2375,NA,1285,877,1945,0.451,240,727,0.33,492,711,0.692,397,1295,459,181,127,453,735,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562
"Liberty","Virginia Tech","L 58-67",0,19,17,149,35,21,14,0.6,-5.51,-6.16,14,4,14,5,7,8,2331,2220,NA,1415,779,1787,0.436,319,888,0.359,454,612,0.742,173,990,453,229,65,363,670,17,330,33,22,11,0.667,12.77,8.38,10,8,15,2,4,6,2610,2465,NA,1330,887,1813,0.489,290,720,0.403,546,741,0.737,240,1068,497,131,91,398,543
"Florida State","Gonzaga","L 58-72",0,19,17,96,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,NA,1400,1036,2146,0.483,233,671,0.347,568,824,0.689,409,1324,511,259,180,415,684,17,109,39,37,2,0.949,25.26,4.13,17,1,15,1,10,0,3222,2398,NA,1560,1149,2280,0.504,286,749,0.382,638,890,0.717,378,1587,595,265,183,448,660
"Houston","Kentucky","L 58-62",0,19,17,121,32,21,11,0.656,12.2,3.42,12,6,12,4,6,5,2358,2077,NA,1285,850,1902,0.447,268,681,0.394,390,544,0.717,362,1138,406,170,113,315,601,17,144,38,32,6,0.842,23.88,10.49,16,2,15,2,7,3,3225,2716,NA,1525,1134,2396,0.473,267,757,0.353,690,980,0.704,470,1512,585,229,200,443,716
"Saint Mary's (CA)","Villanova","L 57-61",0,19,17,262,34,29,5,0.853,16.75,2.19,16,2,15,2,10,1,2449,1954,NA,1360,892,1797,0.496,293,744,0.394,372,499,0.745,324,1205,563,143,110,365,512,17,327,36,32,4,0.889,23.8,9.28,15,3,14,1,9,2,2779,2256,NA,1440,965,1948,0.495,311,843,0.369,538,681,0.79,316,1208,505,259,109,402,515
"Northern Kentucky","Texas Tech","L 57-72",0,19,17,224,35,24,11,0.686,-0.17,-2.84,12,6,12,2,8,7,2659,2507,NA,1400,928,2037,0.456,300,859,0.349,503,740,0.68,391,1319,486,200,98,468,622,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562
"Gardner-Webb","Virginia","L 56-71",0,19,17,101,33,19,14,0.576,-3.08,-5.71,11,7,9,5,8,8,2546,2319,NA,1345,913,1905,0.479,209,552,0.379,511,819,0.624,372,1259,486,291,118,474,670,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556
"Wofford","Kentucky","L 56-62",0,19,17,346,33,16,17,0.485,-0.71,-1.08,10,8,11,2,4,10,2593,2479,NA,1350,900,1926,0.467,311,771,0.403,482,619,0.779,323,1105,552,185,71,405,614,17,144,38,32,6,0.842,23.88,10.49,16,2,15,2,7,3,3225,2716,NA,1525,1134,2396,0.473,267,757,0.353,690,980,0.704,470,1512,585,229,200,443,716
"Montana","Michigan","L 55-74",0,19,17,190,32,16,16,0.5,-2.67,-4.02,11,7,8,5,7,8,2391,2348,NA,1290,843,1879,0.449,238,667,0.357,467,621,0.752,310,1084,416,181,91,345,699,17,178,38,26,12,0.684,18.8,10.17,10,8,15,3,3,8,2851,2523,NA,1535,1002,2076,0.483,361,937,0.385,486,624,0.779,280,1111,527,220,108,348,571
