"team1","team2","Result","outcome","Year.x","Year.x.x","Rk.x","G.x","W.x","L.x","W.L..x","SRS.x","SOS.x","W.1.x","L.1.x","W.2.x","L.2.x","W.3.x","L.3.x","Tm..x","Opp..x","X.x","MP.x","FG.x","FGA.x","FG..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","Year.y","Rk.y","G.y","W.y","L.y","W.L..y","SRS.y","SOS.y","W.1.y","L.1.y","W.2.y","L.2.y","W.3.y","L.3.y","Tm..y","Opp..y","X.y","MP.y","FG.y","FGA.y","FG..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y"
"Georgia State","Cincinnati","L 53-68",0,18,17,106,33,20,13,0.606,-0.33,-2.17,12,6,11,3,6,9,2442,2312,NA,1325,885,1888,0.469,246,690,0.357,426,658,0.647,334,1174,399,236,140,463,673,17,56,36,30,6,0.833,18.43,5.49,16,2,18,0,8,3,2674,2208,NA,1450,969,2116,0.458,264,764,0.346,472,688,0.686,437,1328,557,261,173,361,566
"Michigan State","Syracuse","L 53-55",0,18,17,177,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,NA,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699,17,298,34,19,15,0.559,13.7,8.47,10,8,17,4,2,8,2594,2416,NA,1370,894,1950,0.458,300,791,0.379,506,685,0.739,363,1183,532,275,159,418,542
"Auburn","Clemson","L 53-84",0,18,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668,17,58,33,17,16,0.515,13.22,9.98,6,12,11,6,3,7,2468,2361,NA,1325,871,1939,0.449,239,669,0.357,487,666,0.731,365,1124,414,235,130,354,501
"Kansas State","Maryland-Baltimore County","W 50-43",1,18,17,140,35,21,14,0.6,14.8,10.48,8,10,11,5,5,6,2523,2372,NA,1405,869,1883,0.461,247,683,0.362,538,775,0.694,330,1132,521,271,130,453,630,17,167,34,21,13,0.618,-3.84,-5.87,9,7,13,5,8,8,2759,2624,NA,1390,957,2041,0.469,330,840,0.393,515,691,0.745,307,1199,507,224,80,411,625
"Wright State","Tennessee","L 47-73",0,18,17,347,32,20,12,0.625,-1.02,-2.42,11,7,12,4,8,7,2465,2317,NA,1290,817,1819,0.449,285,749,0.381,546,715,0.764,326,1136,472,181,75,474,594,17,303,32,16,16,0.5,11.28,10.18,8,10,11,6,4,7,2383,2335,NA,1285,803,1903,0.422,189,579,0.326,588,807,0.729,388,1206,441,175,146,399,670
"Montana","Michigan","L 47-61",0,18,17,190,32,16,16,0.5,-2.67,-4.02,11,7,8,5,7,8,2391,2348,NA,1290,843,1879,0.449,238,667,0.357,467,621,0.752,310,1084,416,181,91,345,699,17,178,38,26,12,0.684,18.8,10.17,10,8,15,3,3,8,2851,2523,NA,1535,1002,2076,0.483,361,937,0.385,486,624,0.779,280,1111,527,220,108,348,571
"North Carolina Central","Texas Southern","L 46-64",0,18,17,210,34,25,9,0.735,-3.18,-12.12,13,3,11,2,11,6,2542,2159,NA,1360,910,2005,0.454,255,761,0.335,467,684,0.683,397,1313,480,209,112,406,587,17,311,35,23,12,0.657,-6.41,-7.81,16,2,10,0,11,11,2593,2544,NA,1410,866,2015,0.43,205,693,0.296,656,893,0.735,401,1228,409,250,111,407,607
"Maryland-Baltimore County","Kansas State","L 43-50",0,18,17,167,34,21,13,0.618,-3.84,-5.87,9,7,13,5,8,8,2759,2624,NA,1390,957,2041,0.469,330,840,0.393,515,691,0.745,307,1199,507,224,80,411,625,17,140,35,21,14,0.6,14.8,10.48,8,10,11,5,5,6,2523,2372,NA,1405,869,1883,0.461,247,683,0.362,538,775,0.694,330,1132,521,271,130,453,630
"Purdue","Tennessee","W 99-94 (OT)",1,19,17,248,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,NA,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552,17,303,32,16,16,0.5,11.28,10.18,8,10,11,6,4,7,2383,2335,NA,1285,803,1903,0.422,189,579,0.326,588,807,0.729,388,1206,441,175,146,399,670
"Auburn","North Carolina","W 97-80",1,19,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668,17,214,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711
"Tennessee","Purdue","L 94-99 (OT)",0,19,17,303,32,16,16,0.5,11.28,10.18,8,10,11,6,4,7,2383,2335,NA,1285,803,1903,0.422,189,579,0.326,588,807,0.729,388,1206,441,175,146,399,670,17,248,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,NA,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552
"Buffalo","Arizona State","W 91-74",1,19,17,35,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,2486,2375,NA,1285,877,1945,0.451,240,727,0.33,492,711,0.692,397,1295,459,181,127,453,735,17,12,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,2593,2695,NA,1325,888,2047,0.434,328,896,0.366,489,653,0.749,304,1075,430,194,106,344,556
"Florida State","Murray State","W 90-62",1,19,17,96,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,NA,1400,1036,2146,0.483,233,671,0.347,568,824,0.689,409,1324,511,259,180,415,684,17,194,33,16,17,0.485,-3.06,-4.41,8,8,10,4,3,11,2639,2543,NA,1350,899,2040,0.441,289,803,0.36,552,751,0.735,399,1243,458,198,75,403,659
"Auburn","Kansas","W 89-75",1,19,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668,17,141,36,31,5,0.861,23.53,12.23,16,2,14,1,10,1,2995,2588,NA,1455,1071,2193,0.488,318,787,0.404,535,789,0.678,428,1393,584,250,162,456,639
"North Carolina","Iona","W 88-73",1,19,17,214,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711,17,131,35,22,13,0.629,1.08,-2.47,12,8,8,4,7,7,2813,2689,NA,1415,979,2155,0.454,342,862,0.397,513,668,0.768,337,1250,541,239,108,421,669
"Kansas","Northeastern","W 87-53",1,19,17,141,36,31,5,0.861,23.53,12.23,16,2,14,1,10,1,2995,2588,NA,1455,1071,2193,0.488,318,787,0.404,535,789,0.678,428,1393,584,250,162,456,639,17,219,31,15,16,0.484,-0.78,-0.91,8,10,7,4,7,10,2234,2230,NA,1255,767,1682,0.456,267,728,0.367,433,636,0.681,264,1039,414,170,112,390,522
"Purdue","Villanova","W 87-61",1,19,17,248,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,NA,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552,17,327,36,32,4,0.889,23.8,9.28,15,3,14,1,9,2,2779,2256,NA,1440,965,1948,0.495,311,843,0.369,538,681,0.79,316,1208,505,259,109,402,515
"Minnesota","Louisville","W 86-76",1,19,17,181,34,24,10,0.706,14.56,8.82,11,7,17,3,5,5,2556,2361,NA,1390,887,2037,0.435,209,610,0.343,573,806,0.711,378,1341,507,194,227,393,577,17,158,34,25,9,0.735,22.47,11.15,12,6,16,1,5,5,2628,2243,NA,1370,952,2085,0.457,238,670,0.355,486,708,0.686,457,1343,461,227,186,374,652
"Virginia","Texas Tech","W 85-77 (OT)",1,19,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562
"Wofford","Seton Hall","W 84-68",1,19,17,346,33,16,17,0.485,-0.71,-1.08,10,8,11,2,4,10,2593,2479,NA,1350,900,1926,0.467,311,771,0.403,482,619,0.779,323,1105,552,185,71,405,614,17,273,33,21,12,0.636,12.1,9.25,10,8,12,2,4,6,2417,2323,NA,1335,872,1949,0.447,202,598,0.338,471,733,0.643,439,1311,405,228,82,449,613
"Houston","Georgia State","W 84-55",1,19,17,121,32,21,11,0.656,12.2,3.42,12,6,12,4,6,5,2358,2077,NA,1285,850,1902,0.447,268,681,0.394,390,544,0.717,362,1138,406,170,113,315,601,17,106,33,20,13,0.606,-0.33,-2.17,12,6,11,3,6,9,2442,2312,NA,1325,885,1888,0.469,246,690,0.357,426,658,0.647,334,1174,399,236,140,463,673
"Murray State","Marquette","W 83-64",1,19,17,194,33,16,17,0.485,-3.06,-4.41,8,8,10,4,3,11,2639,2543,NA,1350,899,2040,0.441,289,803,0.36,552,751,0.735,399,1243,458,198,75,403,659,17,165,32,19,13,0.594,15.26,8.6,10,8,14,3,4,6,2631,2418,NA,1285,919,1888,0.487,336,783,0.429,457,585,0.781,280,1058,525,231,115,396,620
"Gonzaga","Baylor","W 83-71",1,19,17,109,39,37,2,0.949,25.26,4.13,17,1,15,1,10,0,3222,2398,NA,1560,1149,2280,0.504,286,749,0.382,638,890,0.717,378,1587,595,265,183,448,660,17,22,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,NA,1400,921,1956,0.471,230,641,0.359,478,661,0.723,451,1329,544,180,166,469,617
"Tennessee","Iowa","W 83-77 (OT)",1,19,17,303,32,16,16,0.5,11.28,10.18,8,10,11,6,4,7,2383,2335,NA,1285,803,1903,0.422,189,579,0.326,588,807,0.729,388,1206,441,175,146,399,670,17,133,34,19,15,0.559,10.01,7.54,10,8,15,5,3,7,2738,2654,NA,1395,964,2121,0.455,300,791,0.379,510,741,0.688,408,1306,602,252,130,472,608
"Belmont","Temple","W 81-70",1,19,17,23,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,NA,1205,798,1703,0.469,306,895,0.342,400,521,0.768,254,1057,481,131,80,380,531,17,299,32,16,16,0.5,4.84,5.09,7,11,9,7,4,8,2269,2277,NA,1295,808,1916,0.422,287,807,0.356,366,506,0.723,320,1096,464,208,128,365,584
"North Carolina","Washington","W 81-59",1,19,17,214,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711,17,335,31,9,22,0.29,2.15,6.82,2,16,7,9,1,11,2368,2513,NA,1245,874,1949,0.448,226,639,0.354,394,602,0.654,401,1161,408,187,171,425,628
"North Carolina","Auburn","L 80-97",0,19,17,214,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668
"Virginia","Purdue","W 80-75 (OT)",1,19,17,331,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,NA,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556,17,248,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,NA,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552
"Maryland","Belmont","W 79-77",1,19,17,169,33,24,9,0.727,12.79,8.29,12,6,13,5,8,2,2438,2246,NA,1325,827,1840,0.449,272,757,0.359,512,732,0.699,351,1173,472,180,154,426,613,17,23,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,NA,1205,798,1703,0.469,306,895,0.342,400,521,0.768,254,1057,481,131,80,380,531
"Iowa","Cincinnati","W 79-72",1,19,17,133,34,19,15,0.559,10.01,7.54,10,8,15,5,3,7,2738,2654,NA,1395,964,2121,0.455,300,791,0.379,510,741,0.688,408,1306,602,252,130,472,608,17,56,36,30,6,0.833,18.43,5.49,16,2,18,0,8,3,2674,2208,NA,1450,969,2116,0.458,264,764,0.346,472,688,0.686,437,1328,557,261,173,361,566
"Auburn","New Mexico State","W 78-77",1,19,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668,17,201,34,28,6,0.824,4.66,-3.82,11,3,17,1,8,4,2678,2310,NA,1365,913,1957,0.467,252,747,0.337,600,843,0.712,436,1339,505,166,128,465,627
"Baylor","Syracuse","W 78-69",1,19,17,22,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,NA,1400,921,1956,0.471,230,641,0.359,478,661,0.723,451,1329,544,180,166,469,617,17,298,34,19,15,0.559,13.7,8.47,10,8,17,4,2,8,2594,2416,NA,1370,894,1950,0.458,300,791,0.379,506,685,0.739,363,1183,532,275,159,418,542
"Washington","Utah State","W 78-61",1,19,17,335,31,9,22,0.29,2.15,6.82,2,16,7,9,1,11,2368,2513,NA,1245,874,1949,0.448,226,639,0.354,394,602,0.654,401,1161,408,187,171,425,628,17,321,32,15,17,0.469,2.9,2.46,7,11,11,5,3,8,2337,2248,NA,1285,828,1779,0.465,245,646,0.379,436,624,0.699,256,1144,492,159,92,391,605
"Texas Tech","Buffalo","W 78-58",1,19,17,313,32,18,14,0.563,14.11,7.86,6,12,16,3,1,9,2346,2146,NA,1300,835,1776,0.47,212,577,0.367,464,633,0.733,299,1050,427,169,98,354,562,17,35,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,2486,2375,NA,1285,877,1945,0.451,240,727,0.33,492,711,0.692,397,1295,459,181,127,453,735
"New Mexico State","Auburn","L 77-78",0,19,17,201,34,28,6,0.824,4.66,-3.82,11,3,17,1,8,4,2678,2310,NA,1365,913,1957,0.467,252,747,0.337,600,843,0.712,436,1339,505,166,128,465,627,17,19,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,NA,1290,861,1969,0.437,289,789,0.366,562,836,0.672,369,1171,416,234,162,434,668
"Belmont","Maryland","L 77-79",0,19,17,23,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,NA,1205,798,1703,0.469,306,895,0.342,400,521,0.768,254,1057,481,131,80,380,531,17,169,33,24,9,0.727,12.79,8.29,12,6,13,5,8,2,2438,2246,NA,1325,827,1840,0.449,272,757,0.359,512,732,0.699,351,1173,472,180,154,426,613
