team1,team2
Gonzaga,Illinois
Vermont,San Diego State
Texas Tech,Rutgers
Kentucky,Indiana
Oregon State,Virginia
Michigan,Houston
Michigan State,Seton Hall
Kansas,Louisville
Villanova,Richmond
West Virginia,Furman
Iowa,Arizona
South Dakota State,UCLA
Baylor,Arkansas
Witchita State,Western Kentucky
Creighton,Texas
Wisconsin,Louisiana State
