"SOURCE","TARGET","tweet_number"
"Mongo3804","angelor2000",5025
"Mongo3804","RobertDobbs2018",5025
"Mongo3804","laylow88861429",5025
"Mongo3804","topleveltroll2",5025
"Mongo3804","thedemorats",5025
"Mongo3804","TomDoubting",5025
"Mongo3804","Mongo3804",5025
"Mongo3804","chrisg409ubc",5025
"Mongo3804","Jay_see_see",5025
"Mongo3804","Jeanette_EU",5025
"Mongo3804","WalkedAwa",5025
"Mongo3804","ZacRe1",5025
"Mongo3804","Vickie627",5025
"Mongo3804","Brian_Alford",5025
"Mongo3804","GPoopon",5025
"Mongo3804","Merry_Hippie",5025
"Mongo3804","Pompano_Pete",5025
"Mongo3804","MonicaWhitfie14",5025
"Mongo3804","NotMattrellen",5025
"Mongo3804","r0xie_f0x",5025
"Mongo3804","SlimJimJohn1",5025
"Mongo3804","GMARHONDA1",5025
"Mongo3804","AngieGr60130939",5025
"Mongo3804","CRFerr007",5025
"Mongo3804","Eddy120876",5025
"Mongo3804","FlippinDBird",5025
"Mongo3804","ging_nancy",5025
"Mongo3804","RickySi16087724",5025
"Mongo3804","lhbncht",5025
"Mongo3804","kent_nye",5025
"Mongo3804","lou_bruette",5025
"Mongo3804","RPCovit",5025
"Mongo3804","idiot_salad",5025
"Mongo3804","cnnaguirre",5025
"Mongo3804","Real_Chatty_Cat",5025
"Mongo3804","hogansgoat2423",5025
"Mongo3804","motoguzzi2002",5025
"Mongo3804","m_keenum",5025
"Mongo3804","Xianleather2",5025
"Mongo3804","DougDerby",5025
"Mongo3804","corinne_locher",5025
"Mongo3804","jbr0wn12",5025
"Mongo3804","franjerkington",5025
"Mongo3804","NeoDJT",5025
"Mongo3804","PogueMoran",5025
"Mongo3804","t_f_bow",5025
"Mongo3804","LastLaughAemial",5025
"Mongo3804","realDonaldTrump",5025
"littletujunga1","sxdoc",5028
"dbelanger63","YouTube",5033
"VeteranOfUSAF","therealarmyvet",5035
"cbarnella","YouTube",5036
"r9trdr","YouTube",5037
"JanFrye","jamiedlux",5038
"clarityx","realDonaldTrump",5042
"docride2","YouTube",5047
"EdinburghWatch","YouTube",5048
"HopenYourEyes1","YouTube",5049
"juliashalom","YouTube",5051
"Alberto45785319","YouTube",5052
"Em72063308","YouTube",5054
"Angelicanang","YouTube",5055
"O2Motivates","YouTube",5058
"stowmarket500","YouTube",5060
"boldinventions","electricfire89",5062
"octavian88888","strandbooger",5066
"octavian88888","YouAreDreaming",5066
"octavian88888","AP",5066
"thorpe090","DaftLimmy",5068
"House98609441","realDonaldTrump",5069
"House98609441","joerogan",5069
"House98609441","OANN",5069
"House98609441","ChanelRion",5069
"Virgini25568889","YouTube",5070
"lisarenne67","YouTube",5073
"BirdWatching0","YouTube",5075
"Kenzie_Gerhart","YouTube",5076
"Dlh0361Debbie","YouTube",5078
"GatoPumpkin","YouTube",5080
"DonnaReiter5","YouTube",5083
"TIEQ19589191","YouTube",5091
"annavladi","realDonaldTrump",5092
"psibernaut","YouTube",5093
"MJCW09","RepJerryNadler",5094
"MJCW09","BrianLehrer",5094
"MJCW09","WNYC",5094
"Jessica74203011","YouTube",5095
"crotto69","YouTube",5096
"crotto69","YouTube",5097
"thundercookie74","jilljusttweets",5098
"thundercookie74","JoanneTarpon07",5098
"LindaSt18683783","divinechi123",5099
"LindaSt18683783","DonaldJTrumpJr",5099
"LindaSt18683783","realDonaldTrump",5100
"DAbolical","SkyNews",5101
"Beer_Parade","YouTube",5104
"shidarden","realDonaldTrump",5106
"kerigray5119","YouTube",5108
"ash162050","CDCgov",5109
"ash162050","WHO",5109
"ash162050","BillGates",5109
"ash162050","JustinTrudeau",5109
"ash162050","jkenney",5109
"ash162050","YouTube",5109
"ash162050","CDCgov",5110
"ash162050","WHO",5110
"ash162050","BillGates",5110
"ash162050","JustinTrudeau",5110
"ash162050","jkenney",5110
"LaurinSolomen","YouTube",5114
