,team1,team2,Result,year,outcome,Year.x,Random.x,Season.x,SeasonStart.x,Year.y,Random.y,Season.y,SeasonStart.y,Year,List,T1MinutesPlayed,T2MinutesPlayed,T1FieldGoals,T2FieldGoals,T1FieldGoalAttpt,T2FieldGoalAttpt,T1FieldGoalPct,T2FieldGoalPct,T1FieldGoals2P,T2FieldGoals2P,T1FieldGoalAttpt2P,T2FieldGoalAttpt2P,T1FieldGoals2PPct,T2FieldGoals2PPct,T1FieldGoals3P,T2FieldGoals3P,T1FieldGoalAttpt3P,T2FieldGoalAttpt3P,T1FieldGoals3PPct,T2FieldGoals3PPct,T1FreeThrows,T2FreeThrows,T1FreeThrowAttpt,T2FreeThrowAttpt,T1FreeThrowPct,T2FreeThrowPct,T1GamesPlayed,T2GamesPlayed,T1GamesWon,T2GamesWon,T1GamesLost,T2GamesLost,T1WinLossRatio,T2WinLossRatio,T1PointsScored,T2PointsScored
18,Florida,UCSB,W 79-51,2011,1,11,377,2010-11,2010,11,2065,2010-11,2010,11,18,7575,6475,968,742,2083,1636,0.465,0.454,735,515,1422,1025,0.517,0.502,233,227,661,611,0.352,0.372,498,459,744,610,0.669,0.752,37,32,29,18,8,14,0.784,0.563,2667,2170
19,Cincinnati,Missouri,W 78-63,2011,1,11,1083,2010-11,2010,11,237,2010-11,2010,11,19,7025,6875,848,983,1939,2145,0.437,0.458,628,738,1288,1476,0.488,0.5,220,245,651,669,0.338,0.366,496,537,742,727,0.668,0.739,35,34,26,23,9,11,0.743,0.676,2412,2748
20,UCLA,Michigan State,W 78-76,2011,1,11,1189,2010-11,2010,11,1361,2010-11,2010,11,20,6876,6874,830,817,1824,1894,0.455,0.431,657,597,1295,1274,0.507,0.469,173,220,529,620,0.327,0.355,549,484,808,691,0.679,0.7,34,34,23,19,11,15,0.676,0.559,2382,2338
21,Little Rock,UNC Asheville,L 77-81 (OT),2011,0,11,919,2010-11,2010,11,754,2010-11,2010,11,21,7275,6951,825,881,1938,1950,0.426,0.452,583,713,1323,1435,0.441,0.497,242,168,615,515,0.393,0.326,565,576,819,810,0.69,0.711,36,34,19,20,17,14,0.528,0.588,2457,2506
22,Arizona,Memphis,W 77-75,2011,1,11,78,2010-11,2010,11,707,2010-11,2010,11,22,7700,7075,969,891,2064,1975,0.469,0.451,673,681,1319,1336,0.51,0.51,296,210,745,639,0.397,0.329,671,532,899,782,0.746,0.68,38,35,30,25,8,10,0.789,0.714,2905,2524
23,Syracuse,Indiana State,W 77-60,2011,1,11,598,2010-11,2010,11,1731,2010-11,2010,11,23,7050,6900,936,769,1983,1793,0.472,0.429,714,534,1355,1144,0.527,0.467,222,235,628,649,0.354,0.362,474,480,713,676,0.665,0.71,35,34,27,20,8,14,0.771,0.588,2568,2253
24,Duke,Arizona,L 77-93,2011,0,11,45,2010-11,2010,11,78,2010-11,2010,11,24,7400,7700,1040,969,2206,2064,0.471,0.469,749,673,1428,1319,0.525,0.51,291,296,778,745,0.374,0.397,622,671,826,899,0.753,0.746,37,38,32,30,5,8,0.865,0.789,2993,2905
25,Kansas,Richmond,W 77-57,2011,1,11,23,2010-11,2010,11,572,2010-11,2010,11,25,7625,7450,1114,922,2193,2007,0.508,0.459,843,635,1483,1272,0.568,0.499,271,287,710,735,0.382,0.39,585,446,862,649,0.679,0.687,38,37,35,29,3,8,0.921,0.784,3084,2577
26,Clemson,West Virginia,L 76-84,2011,0,11,1395,2010-11,2010,11,1497,2010-11,2010,11,26,6850,6600,810,783,1827,1826,0.443,0.429,593,577,1197,1215,0.495,0.475,217,206,630,611,0.344,0.337,493,531,703,747,0.701,0.711,34,33,22,21,12,12,0.647,0.636,2330,2303
27,Michigan State,UCLA,L 76-78,2011,0,11,1361,2010-11,2010,11,1189,2010-11,2010,11,27,6874,6876,817,830,1894,1824,0.431,0.455,597,657,1274,1295,0.469,0.507,220,173,620,529,0.355,0.327,484,549,691,808,0.7,0.679,34,34,19,23,15,11,0.559,0.676,2338,2382
28,Purdue,VCU,L 76-94,2011,0,11,889,2010-11,2010,11,100,2010-11,2010,11,28,6825,8100,875,968,1957,2228,0.447,0.434,640,629,1312,1311,0.488,0.48,235,339,645,917,0.364,0.37,481,589,673,824,0.715,0.715,34,40,26,28,8,12,0.765,0.7,2466,2864
29,Kentucky,UNC,W 76-69,2011,1,11,114,2010-11,2010,11,96,2010-11,2010,11,29,7625,7424,1002,1044,2183,2317,0.459,0.451,721,854,1476,1738,0.488,0.491,281,190,707,579,0.397,0.328,560,590,789,878,0.71,0.672,38,37,29,29,9,8,0.763,0.784,2845,2868
30,Memphis,Arizona,L 75-77,2011,0,11,707,2010-11,2010,11,78,2010-11,2010,11,30,7075,7700,891,969,1975,2064,0.451,0.469,681,673,1336,1319,0.51,0.51,210,296,639,745,0.329,0.397,532,671,782,899,0.68,0.746,35,38,25,30,10,8,0.714,0.789,2524,2905
31,Michigan,Tennessee,W 75-45,2011,1,11,1402,2010-11,2010,11,1201,2010-11,2010,11,31,7050,6850,847,837,1889,1941,0.448,0.431,564,662,1085,1358,0.52,0.487,283,175,804,583,0.352,0.3,351,527,502,770,0.699,0.684,35,34,21,19,14,15,0.6,0.559,2328,2376
32,Ohio State,UTSA,W 75-46,2011,1,11,106,2010-11,2010,11,1181,2010-11,2010,11,32,7425,6800,1017,802,2059,1871,0.494,0.429,732,568,1385,1204,0.529,0.472,285,234,674,667,0.423,0.351,535,546,763,774,0.701,0.705,37,34,34,20,3,14,0.919,0.588,2854,2384
33,BYU,Wofford,W 74-66,2011,1,11,39,2010-11,2010,11,768,2010-11,2010,11,33,7475,6950,1019,883,2267,1853,0.449,0.477,707,686,1402,1360,0.504,0.504,312,197,865,493,0.361,0.4,662,539,865,778,0.765,0.693,37,34,32,21,5,13,0.865,0.618,3012,2502
