,team1,team2,Result,year,outcome,Year.x,Random.x,Season.x,SeasonStart.x,Year.y,Random.y,Season.y,SeasonStart.y,Year,List,T1MinutesPlayed,T2MinutesPlayed,T1FieldGoals,T2FieldGoals,T1FieldGoalAttpt,T2FieldGoalAttpt,T1FieldGoalPct,T2FieldGoalPct,T1FieldGoals2P,T2FieldGoals2P,T1FieldGoalAttpt2P,T2FieldGoalAttpt2P,T1FieldGoals2PPct,T2FieldGoals2PPct,T1FieldGoals3P,T2FieldGoals3P,T1FieldGoalAttpt3P,T2FieldGoalAttpt3P,T1FieldGoals3PPct,T2FieldGoals3PPct,T1FreeThrows,T2FreeThrows,T1FreeThrowAttpt,T2FreeThrowAttpt,T1FreeThrowPct,T2FreeThrowPct,T1GamesPlayed,T2GamesPlayed,T1GamesWon,T2GamesWon,T1GamesLost,T2GamesLost,T1WinLossRatio,T2WinLossRatio,T1PointsScored,T2PointsScored
339,Belmont,Arizona,L 64-81,2013,0,13,690,2012-13,2012,13,595,2012-13,2012,13,339,6625,7026,906,880,1844,1933,0.491,0.455,627,611,1115,1208,0.562,0.506,279,269,729,725,0.383,0.371,442,541,604,722,0.732,0.749,33,35,26,27,7,8,0.788,0.771,2533,2570
340,California,UNLV,W 64-61,2013,1,13,1873,2012-13,2012,13,787,2012-13,2012,13,340,6624,7024,833,872,1875,2002,0.444,0.436,699,645,1432,1313,0.488,0.491,134,227,443,689,0.302,0.329,418,525,585,747,0.715,0.703,33,35,21,25,12,10,0.636,0.714,2218,2496
341,Gonzaga,Southern,W 64-58,2013,1,13,324,2012-13,2012,13,1848,2012-13,2012,13,341,7000,6599,961,761,1934,1757,0.497,0.433,735,535,1325,1138,0.555,0.47,226,226,609,619,0.371,0.365,548,475,777,689,0.705,0.689,35,33,32,23,3,10,0.914,0.697,2696,2223
342,Saint Louis,New Mexico St.,W 64-44,2013,1,13,1164,2012-13,2012,13,1288,2012-13,2012,13,342,7050,7050,808,832,1812,1828,0.446,0.455,598,695,1195,1390,0.5,0.5,210,137,617,438,0.34,0.313,562,554,798,845,0.704,0.656,35,35,28,24,7,11,0.8,0.686,2388,2355
343,Kansas,Western Ky.,W 64-57,2013,1,13,186,2012-13,2012,13,1096,2012-13,2012,13,343,7525,7225,985,837,2049,1959,0.481,0.427,769,611,1455,1250,0.529,0.489,216,226,594,709,0.364,0.319,596,509,809,755,0.737,0.674,37,36,31,20,6,16,0.838,0.556,2782,2409
344,Minnesota,Florida,L 64-78,2013,0,13,1365,2012-13,2012,13,415,2012-13,2012,13,344,6825,7400,815,960,1838,2010,0.443,0.478,631,660,1292,1216,0.488,0.543,184,300,546,794,0.337,0.378,523,422,764,623,0.685,0.677,34,37,21,29,13,8,0.618,0.784,2337,2642
345,Cincinnati,Creighton,L 63-67,2013,0,13,1696,2012-13,2012,13,354,2012-13,2012,13,345,6875,7199,791,942,1963,1882,0.403,0.501,561,635,1234,1140,0.455,0.557,230,307,729,742,0.316,0.414,450,489,696,644,0.647,0.759,34,36,22,28,12,8,0.647,0.778,2262,2680
346,La Salle,Kansas State,W 63-61,2013,1,13,934,2012-13,2012,13,1075,2012-13,2012,13,346,6848,7000,871,872,1931,2002,0.451,0.436,609,634,1236,1344,0.493,0.472,262,238,695,658,0.377,0.362,446,432,605,631,0.737,0.685,34,35,24,27,10,8,0.706,0.771,2450,2414
347,UCLA,Minnesota,L 63-83,2013,0,13,506,2012-13,2012,13,1365,2012-13,2012,13,347,7100,6825,961,815,2131,1838,0.451,0.443,790,631,1617,1292,0.489,0.488,171,184,514,546,0.333,0.337,511,523,706,764,0.724,0.685,35,34,25,21,10,13,0.714,0.618,2604,2337
348,Miami (FL),Illinois,W 63-59,2013,1,13,747,2012-13,2012,13,891,2012-13,2012,13,348,7225,7225,895,858,1968,2084,0.455,0.412,641,578,1267,1211,0.506,0.477,254,280,701,873,0.362,0.321,465,469,680,646,0.684,0.726,36,36,29,23,7,13,0.806,0.639,2509,2465
349,Duke,Louisville,L 63-85,2013,0,13,196,2012-13,2012,13,53,2012-13,2012,13,349,7200,8125,960,1048,2033,2300,0.472,0.456,690,818,1357,1609,0.508,0.508,270,230,676,691,0.399,0.333,588,652,796,920,0.739,0.709,36,40,30,35,6,5,0.833,0.875,2778,2978
350,New Mexico,Harvard,L 62-68,2013,0,13,1289,2012-13,2012,13,2543,2012-13,2012,13,350,7050,6077,768,677,1815,1425,0.423,0.475,547,486,1186,945,0.461,0.514,221,191,629,480,0.351,0.398,598,504,829,697,0.721,0.723,35,30,29,20,6,10,0.829,0.667,2355,2049
351,James Madison,Indiana,L 62-83,2013,0,13,1322,2012-13,2012,13,132,2012-13,2012,13,351,7250,7253,818,951,1941,1971,0.421,0.482,607,694,1313,1334,0.462,0.52,211,257,628,637,0.336,0.403,499,672,714,904,0.699,0.743,36,36,21,29,15,7,0.583,0.806,2346,2831
352,Florida,Fla. Gulf Coast,W 62-50,2013,1,13,415,2012-13,2012,13,325,2012-13,2012,13,352,7400,7475,960,976,2010,2112,0.478,0.462,660,729,1216,1390,0.543,0.524,300,247,794,722,0.378,0.342,422,497,623,736,0.677,0.675,37,37,29,26,8,11,0.784,0.703,2642,2696
353,UNLV,California,L 61-64,2013,0,13,787,2012-13,2012,13,1873,2012-13,2012,13,353,7024,6624,872,833,2002,1875,0.436,0.444,645,699,1313,1432,0.491,0.488,227,134,689,443,0.329,0.302,525,418,747,585,0.703,0.715,35,33,25,21,10,12,0.714,0.636,2496,2218
354,Albany (NY),Duke,L 61-73,2013,0,13,1740,2012-13,2012,13,196,2012-13,2012,13,354,7025,7200,761,960,1748,2033,0.435,0.472,548,690,1173,1357,0.467,0.508,213,270,575,676,0.37,0.399,516,588,700,796,0.737,0.739,35,36,24,30,11,6,0.686,0.833,2251,2778
355,Kansas State,La Salle,L 61-63,2013,0,13,1075,2012-13,2012,13,934,2012-13,2012,13,355,7000,6848,872,871,2002,1931,0.436,0.451,634,609,1344,1236,0.472,0.493,238,262,658,695,0.362,0.377,432,446,631,605,0.685,0.737,35,34,27,24,8,10,0.771,0.706,2414,2450
356,Syracuse,Indiana,W 61-50,2013,1,13,150,2012-13,2012,13,132,2012-13,2012,13,356,8050,7253,1007,951,2293,1971,0.439,0.482,774,694,1597,1334,0.485,0.52,233,257,696,637,0.335,0.403,569,672,843,904,0.675,0.743,40,36,30,29,10,7,0.75,0.806,2816,2831
357,Miami (FL),Marquette,L 61-71,2013,0,13,747,2012-13,2012,13,1191,2012-13,2012,13,357,7225,7100,895,842,1968,1844,0.455,0.457,641,695,1267,1347,0.506,0.516,254,147,701,497,0.362,0.296,465,551,680,755,0.684,0.73,36,35,29,26,7,9,0.806,0.743,2509,2382
358,Michigan State,Duke,L 61-71,2013,0,13,949,2012-13,2012,13,196,2012-13,2012,13,358,7199,7200,882,960,1921,2033,0.459,0.472,705,690,1398,1357,0.504,0.508,177,270,523,676,0.338,0.399,507,588,710,796,0.714,0.739,36,36,27,30,9,6,0.75,0.833,2448,2778
359,Michigan,Syracuse,W 61-56,2013,1,13,66,2012-13,2012,13,150,2012-13,2012,13,359,7876,8050,1093,1007,2260,2293,0.484,0.439,797,774,1491,1597,0.535,0.485,296,233,769,696,0.385,0.335,450,569,642,843,0.701,0.675,39,40,31,30,8,10,0.795,0.75,2932,2816
360,California,Syracuse,L 60-66,2013,0,13,1873,2012-13,2012,13,150,2012-13,2012,13,360,6624,8050,833,1007,1875,2293,0.444,0.439,699,774,1432,1597,0.488,0.485,134,233,443,696,0.302,0.335,418,569,585,843,0.715,0.675,33,40,21,30,12,10,0.636,0.75,2218,2816
361,Marquette,Davidson,W 59-58,2013,1,13,1191,2012-13,2012,13,802,2012-13,2012,13,361,7100,6825,842,837,1844,1813,0.457,0.462,695,581,1347,1119,0.516,0.519,147,256,497,694,0.296,0.369,551,560,755,704,0.73,0.795,35,34,26,26,9,8,0.743,0.765,2382,2490
362,Illinois,Miami (FL),L 59-63,2013,0,13,891,2012-13,2012,13,747,2012-13,2012,13,362,7225,7225,858,895,2084,1968,0.412,0.455,578,641,1211,1267,0.477,0.506,280,254,873,701,0.321,0.362,469,465,646,680,0.726,0.684,36,36,23,29,13,7,0.639,0.806,2465,2509
363,Florida,Michigan,L 59-79,2013,0,13,415,2012-13,2012,13,66,2012-13,2012,13,363,7400,7876,960,1093,2010,2260,0.478,0.484,660,797,1216,1491,0.543,0.535,300,296,794,769,0.378,0.385,422,450,623,642,0.677,0.701,37,39,29,31,8,8,0.784,0.795,2642,2932
364,Davidson,Marquette,L 58-59,2013,0,13,802,2012-13,2012,13,1191,2012-13,2012,13,364,6825,7100,837,842,1813,1844,0.462,0.457,581,695,1119,1347,0.519,0.516,256,147,694,497,0.369,0.296,560,551,704,755,0.795,0.73,34,35,26,26,8,9,0.765,0.743,2490,2382
365,Southern,Gonzaga,L 58-64,2013,0,13,1848,2012-13,2012,13,324,2012-13,2012,13,365,6599,7000,761,961,1757,1934,0.433,0.497,535,735,1138,1325,0.47,0.555,226,226,619,609,0.365,0.371,475,548,689,777,0.689,0.705,33,35,23,32,10,3,0.697,0.914,2223,2696
366,Notre Dame,Iowa State,L 58-76,2013,0,13,935,2012-13,2012,13,193,2012-13,2012,13,366,7199,7100,892,962,1929,2111,0.462,0.456,664,616,1312,1187,0.506,0.519,228,346,617,924,0.37,0.374,438,509,618,696,0.709,0.731,35,35,25,23,10,12,0.714,0.657,2450,2779
367,Indiana,Temple,W 58-52,2013,1,13,132,2012-13,2012,13,922,2012-13,2012,13,367,7253,6800,951,851,1971,1986,0.482,0.428,694,608,1334,1246,0.52,0.488,257,243,637,740,0.403,0.328,672,511,904,707,0.743,0.723,36,34,29,24,7,10,0.806,0.706,2831,2456
368,UNC,Kansas,L 58-70,2013,0,13,220,2012-13,2012,13,186,2012-13,2012,13,368,7225,7525,1023,985,2321,2049,0.441,0.481,751,769,1598,1455,0.47,0.529,272,216,723,594,0.376,0.364,442,596,655,809,0.675,0.737,36,37,25,31,11,6,0.694,0.838,2760,2782
369,La Salle,Wichita State,L 58-72,2013,0,13,934,2012-13,2012,13,283,2012-13,2012,13,369,6848,7800,871,954,1931,2166,0.451,0.44,609,695,1236,1401,0.493,0.496,262,259,695,765,0.377,0.339,446,553,605,791,0.737,0.699,34,39,24,30,10,9,0.706,0.769,2450,2720
370,Illinois,Colorado,W 57-49,2013,1,13,891,2012-13,2012,13,1823,2012-13,2012,13,370,7225,6700,858,775,2084,1788,0.412,0.433,578,597,1211,1271,0.477,0.47,280,178,873,517,0.321,0.344,469,502,646,732,0.726,0.686,36,33,23,21,13,12,0.639,0.636,2465,2230
371,Western Ky.,Kansas,L 57-64,2013,0,13,1096,2012-13,2012,13,186,2012-13,2012,13,371,7225,7525,837,985,1959,2049,0.427,0.481,611,769,1250,1455,0.489,0.529,226,216,709,594,0.319,0.364,509,596,755,809,0.674,0.737,36,37,20,31,16,6,0.556,0.838,2409,2782
372,Ole Miss,Wisconsin,W 57-46,2013,1,13,194,2012-13,2012,13,1636,2012-13,2012,13,372,7275,7100,977,823,2230,1960,0.438,0.42,739,564,1495,1175,0.494,0.48,238,259,735,785,0.324,0.33,587,369,866,582,0.678,0.634,36,35,27,23,9,12,0.75,0.657,2779,2274
373,Saint Louis,Oregon,L 57-74,2013,0,13,1164,2012-13,2012,13,404,2012-13,2012,13,373,7050,7526,808,944,1812,2110,0.446,0.447,598,752,1195,1533,0.5,0.491,210,192,617,577,0.34,0.333,562,570,798,809,0.704,0.705,35,37,28,28,7,9,0.8,0.757,2388,2650
374,Bucknell,Butler,L 56-68,2013,0,13,1614,2012-13,2012,13,791,2012-13,2012,13,374,6800,7226,818,869,1807,1931,0.453,0.45,661,630,1369,1243,0.483,0.507,157,239,438,688,0.358,0.347,484,518,652,744,0.742,0.696,34,36,28,27,6,9,0.824,0.75,2277,2495
375,S Dakota St.,Michigan,L 56-71,2013,0,13,599,2012-13,2012,13,66,2012-13,2012,13,375,7100,7876,910,1093,1938,2260,0.47,0.484,640,797,1244,1491,0.514,0.535,270,296,694,769,0.389,0.385,478,450,627,642,0.762,0.701,35,39,25,31,10,8,0.714,0.795,2568,2932
376,Colorado State,Louisville,L 56-82,2013,0,13,645,2012-13,2012,13,53,2012-13,2012,13,376,7024,8125,881,1048,1961,2300,0.449,0.456,701,818,1429,1609,0.491,0.508,180,230,532,691,0.338,0.333,611,652,855,920,0.715,0.709,35,40,26,35,9,5,0.743,0.875,2553,2978
377,Syracuse,Michigan,L 56-61,2013,0,13,150,2012-13,2012,13,66,2012-13,2012,13,377,8050,7876,1007,1093,2293,2260,0.439,0.484,774,797,1597,1491,0.485,0.535,233,296,696,769,0.335,0.385,569,450,843,642,0.675,0.701,40,39,30,31,10,8,0.75,0.795,2816,2932
378,LIU,James Madison,L 55-68,2013,0,13,359,2012-13,2012,13,1322,2012-13,2012,13,378,6851,7250,915,818,1909,1941,0.479,0.421,669,607,1262,1313,0.53,0.462,246,211,647,628,0.38,0.336,601,499,870,714,0.691,0.699,34,36,20,21,14,15,0.588,0.583,2677,2346
379,Oklahoma State,Oregon,L 55-68,2013,0,13,1221,2012-13,2012,13,404,2012-13,2012,13,379,6725,7526,814,944,1854,2110,0.439,0.447,631,752,1274,1533,0.495,0.491,183,192,580,577,0.316,0.333,560,570,751,809,0.746,0.705,33,37,24,28,9,9,0.727,0.757,2371,2650
380,Pitt,Wichita State,L 55-73,2013,0,13,1587,2012-13,2012,13,283,2012-13,2012,13,380,6675,7800,837,954,1775,2166,0.472,0.44,674,695,1308,1401,0.515,0.496,163,259,467,765,0.349,0.339,445,553,666,791,0.668,0.699,33,39,24,30,9,9,0.727,0.769,2282,2720
381,Oklahoma,San Diego State,L 55-70,2013,0,13,1703,2012-13,2012,13,1282,2012-13,2012,13,381,6450,6824,803,839,1847,1916,0.435,0.438,644,637,1354,1298,0.476,0.491,159,202,493,618,0.323,0.327,495,476,654,697,0.757,0.683,32,34,20,23,12,11,0.625,0.676,2260,2356
382,Syracuse,Marquette,W 55-39,2013,1,13,150,2012-13,2012,13,1191,2012-13,2012,13,382,8050,7100,1007,842,2293,1844,0.439,0.457,774,695,1597,1347,0.485,0.516,233,147,696,497,0.335,0.296,569,551,843,755,0.675,0.73,40,35,30,26,10,9,0.75,0.743,2816,2382
383,Middle Tenn.,Saint Mary's,L 54-67,2013,0,13,1108,2012-13,2012,13,497,2012-13,2012,13,383,6850,7026,848,910,1835,1939,0.462,0.469,667,637,1355,1211,0.492,0.526,181,273,480,728,0.377,0.375,528,517,759,713,0.696,0.725,34,35,28,28,6,7,0.824,0.8,2405,2610
384,Memphis,Saint Mary's,W 54-52,2013,1,13,352,2012-13,2012,13,497,2012-13,2012,13,384,7251,7026,976,910,2071,1939,0.471,0.469,756,637,1479,1211,0.511,0.526,220,273,592,728,0.372,0.375,509,517,771,713,0.66,0.725,36,35,31,28,5,7,0.861,0.8,2681,2610
385,Valparaiso,Michigan State,L 54-65,2013,0,13,1051,2012-13,2012,13,949,2012-13,2012,13,385,6824,7199,823,882,1699,1921,0.484,0.459,570,705,1019,1398,0.559,0.504,253,177,680,523,0.372,0.338,521,507,713,710,0.731,0.714,34,36,26,27,8,9,0.765,0.75,2420,2448
386,VCU,Michigan,L 53-78,2013,0,13,209,2012-13,2012,13,66,2012-13,2012,13,386,7252,7876,1010,1093,2243,2260,0.45,0.484,729,797,1443,1491,0.505,0.535,281,296,800,769,0.351,0.385,469,450,669,642,0.701,0.701,36,39,27,31,9,8,0.75,0.795,2770,2932
387,Saint Mary's,Memphis,L 52-54,2013,0,13,497,2012-13,2012,13,352,2012-13,2012,13,387,7026,7251,910,976,1939,2071,0.469,0.471,637,756,1211,1479,0.526,0.511,273,220,728,592,0.375,0.372,517,509,713,771,0.725,0.66,35,36,28,31,7,5,0.8,0.861,2610,2681
388,Temple,Indiana,L 52-58,2013,0,13,922,2012-13,2012,13,132,2012-13,2012,13,388,6800,7253,851,951,1986,1971,0.428,0.482,608,694,1246,1334,0.488,0.52,243,257,740,637,0.328,0.403,511,672,707,904,0.723,0.743,34,36,24,29,10,7,0.706,0.806,2456,2831
389,Harvard,Arizona,L 51-74,2013,0,13,2543,2012-13,2012,13,595,2012-13,2012,13,389,6077,7026,677,880,1425,1933,0.475,0.455,486,611,945,1208,0.514,0.506,191,269,480,725,0.398,0.371,504,541,697,722,0.723,0.749,30,35,20,27,10,8,0.667,0.771,2049,2570
390,Creighton,Duke,L 50-66,2013,0,13,354,2012-13,2012,13,196,2012-13,2012,13,390,7199,7200,942,960,1882,2033,0.501,0.472,635,690,1140,1357,0.557,0.508,307,270,742,676,0.414,0.399,489,588,644,796,0.759,0.739,36,36,28,30,8,6,0.778,0.833,2680,2778
391,Indiana,Syracuse,L 50-61,2013,0,13,132,2012-13,2012,13,150,2012-13,2012,13,391,7253,8050,951,1007,1971,2293,0.482,0.439,694,774,1334,1597,0.52,0.485,257,233,637,696,0.403,0.335,672,569,904,843,0.743,0.675,36,40,29,30,7,10,0.806,0.75,2831,2816
392,Fla. Gulf Coast,Florida,L 50-62,2013,0,13,325,2012-13,2012,13,415,2012-13,2012,13,392,7475,7400,976,960,2112,2010,0.462,0.478,729,660,1390,1216,0.524,0.543,247,300,722,794,0.342,0.378,497,422,736,623,0.675,0.677,37,37,26,29,11,8,0.703,0.784,2696,2642
393,Colorado,Illinois,L 49-57,2013,0,13,1823,2012-13,2012,13,891,2012-13,2012,13,393,6700,7225,775,858,1788,2084,0.433,0.412,597,578,1271,1211,0.47,0.477,178,280,517,873,0.344,0.321,502,469,732,646,0.686,0.726,33,36,21,23,12,13,0.636,0.639,2230,2465
394,Pacific,Miami (FL),L 49-78,2013,0,13,1334,2012-13,2012,13,747,2012-13,2012,13,394,7026,7225,824,895,1839,1968,0.448,0.455,599,641,1249,1267,0.48,0.506,225,254,590,701,0.381,0.362,471,465,684,680,0.689,0.684,35,36,22,29,13,7,0.629,0.806,2344,2509
395,N.C. A&T,Louisville,L 48-79,2013,0,13,1512,2012-13,2012,13,53,2012-13,2012,13,395,7425,8125,776,1048,1927,2300,0.403,0.456,561,818,1220,1609,0.46,0.508,215,230,707,691,0.304,0.333,532,652,809,920,0.658,0.709,37,40,20,35,17,5,0.541,0.875,2299,2978
396,Memphis,Michigan State,L 48-70,2013,0,13,352,2012-13,2012,13,949,2012-13,2012,13,396,7251,7199,976,882,2071,1921,0.471,0.459,756,705,1479,1398,0.511,0.504,220,177,592,523,0.372,0.338,509,507,771,710,0.66,0.714,36,36,31,27,5,9,0.861,0.75,2681,2448
397,NW St.,Florida,L 47-79,2013,0,13,621,2012-13,2012,13,415,2012-13,2012,13,397,6400,7400,919,960,2007,2010,0.458,0.478,730,660,1404,1216,0.52,0.543,189,300,603,794,0.313,0.378,532,422,775,623,0.686,0.677,32,37,23,29,9,8,0.719,0.784,2559,2642
398,Wisconsin,Ole Miss,L 46-57,2013,0,13,1636,2012-13,2012,13,194,2012-13,2012,13,398,7100,7275,823,977,1960,2230,0.42,0.438,564,739,1175,1495,0.48,0.494,259,238,785,735,0.33,0.324,369,587,582,866,0.634,0.678,35,36,23,27,12,9,0.657,0.75,2274,2779
399,New Mexico St.,Saint Louis,L 44-64,2013,0,13,1288,2012-13,2012,13,1164,2012-13,2012,13,399,7050,7050,832,808,1828,1812,0.455,0.446,695,598,1390,1195,0.5,0.5,137,210,438,617,0.313,0.34,554,562,845,798,0.656,0.704,35,35,24,28,11,7,0.686,0.8,2355,2388
400,Akron,VCU,L 42-88,2013,0,13,1231,2012-13,2012,13,209,2012-13,2012,13,400,6700,7252,852,1010,1874,2243,0.455,0.45,623,729,1185,1443,0.526,0.505,229,281,689,800,0.332,0.351,436,469,678,669,0.643,0.701,33,36,26,27,7,9,0.788,0.75,2369,2770
401,Marquette,Syracuse,L 39-55,2013,0,13,1191,2012-13,2012,13,150,2012-13,2012,13,401,7100,8050,842,1007,1844,2293,0.457,0.439,695,774,1347,1597,0.516,0.485,147,233,497,696,0.296,0.335,551,569,755,843,0.73,0.675,35,40,26,30,9,10,0.743,0.75,2382,2816
402,Montana,Syracuse,L 34-81,2013,0,13,1796,2012-13,2012,13,150,2012-13,2012,13,402,6525,8050,760,1007,1635,2293,0.465,0.439,541,774,1046,1597,0.517,0.485,219,233,589,696,0.372,0.335,499,569,651,843,0.767,0.675,32,40,25,30,7,10,0.781,0.75,2238,2816
403,Michigan State,Delaware,W 93-78,2014,1,14,94,2013-14,2013,14,187,2013-14,2013,14,403,7674,7027,1024,936,2159,2108,0.474,0.444,717,684,1376,1381,0.521,0.495,307,252,783,727,0.392,0.347,515,658,728,925,0.707,0.711,38,35,29,25,9,10,0.763,0.714,2870,2782
404,Iowa State,N.C. Central,W 93-75,2014,1,14,50,2013-14,2013,14,738,2013-14,2013,14,404,7324,6901,1062,847,2239,1832,0.474,0.462,761,663,1399,1287,0.544,0.515,301,184,840,545,0.358,0.338,564,635,814,872,0.693,0.728,36,34,28,28,8,6,0.778,0.824,2989,2513
405,UConn,St. Joseph's,W 89-81 (OT),2014,1,14,92,2013-14,2013,14,1004,2013-14,2013,14,405,8050,6825,971,840,2163,1789,0.449,0.47,684,590,1422,1129,0.481,0.523,287,250,741,660,0.387,0.379,644,503,829,780,0.777,0.645,40,34,32,24,8,10,0.8,0.706,2873,2433
406,Texas,Arizona State,W 87-85,2014,1,14,518,2013-14,2013,14,813,2013-14,2013,14,406,7025,6725,905,836,2095,1852,0.432,0.451,727,568,1550,1164,0.469,0.488,178,268,545,688,0.327,0.39,610,546,909,787,0.671,0.694,35,33,24,21,11,12,0.686,0.636,2598,2486
407,Oregon,BYU,W 87-68,2014,1,14,181,2013-14,2013,14,67,2013-14,2013,14,407,6925,7123,928,1012,1977,2186,0.469,0.463,669,835,1311,1687,0.51,0.495,259,177,666,499,0.389,0.355,668,730,865,1055,0.772,0.692,34,35,24,23,10,12,0.706,0.657,2783,2931
408,Tennessee,UMass,W 86-67,2014,1,14,369,2013-14,2013,14,771,2013-14,2013,14,408,7450,6625,927,900,2048,1962,0.453,0.459,722,723,1417,1450,0.51,0.499,205,177,631,512,0.325,0.346,613,525,852,769,0.719,0.683,37,33,24,24,13,9,0.649,0.727,2672,2502
409,Arizona State,Texas,L 85-87,2014,0,14,813,2013-14,2013,14,518,2013-14,2013,14,409,6725,7025,836,905,1852,2095,0.451,0.432,568,727,1164,1550,0.488,0.469,268,178,688,545,0.39,0.327,546,610,787,909,0.694,0.671,33,35,21,24,12,11,0.636,0.686,2486,2598
410,Gonzaga,Oklahoma State,W 85-77,2014,1,14,218,2013-14,2013,14,266,2013-14,2013,14,410,7105,6954,972,898,1963,1941,0.495,0.463,717,659,1320,1285,0.543,0.513,255,239,643,656,0.397,0.364,562,693,793,964,0.709,0.719,36,34,29,21,7,13,0.806,0.618,2761,2728
411,Wisconsin,Oregon,W 85-77,2014,1,14,170,2013-14,2013,14,181,2013-14,2013,14,411,7625,6925,927,928,2019,1977,0.459,0.469,630,669,1229,1311,0.513,0.51,297,259,790,666,0.376,0.389,642,668,861,865,0.746,0.772,38,34,30,24,8,10,0.789,0.706,2793,2783
412,Baylor,Creighton,W 85-55,2014,1,14,115,2013-14,2013,14,227,2013-14,2013,14,412,7698,7000,959,957,2108,1927,0.455,0.497,679,601,1383,1068,0.491,0.563,280,356,725,859,0.386,0.414,645,486,949,654,0.68,0.743,38,35,26,27,12,8,0.684,0.771,2843,2756
413,Iowa State,UNC,W 85-83,2014,1,14,50,2013-14,2013,14,507,2013-14,2013,14,413,7324,6851,1062,953,2239,2057,0.474,0.463,761,807,1399,1623,0.544,0.497,301,146,840,434,0.358,0.336,564,552,814,882,0.693,0.626,36,34,28,24,8,10,0.778,0.706,2989,2604
414,Arizona,Gonzaga,W 84-61,2014,1,14,211,2013-14,2013,14,218,2013-14,2013,14,414,7701,7105,996,972,2123,1963,0.469,0.495,792,717,1562,1320,0.507,0.543,204,255,561,643,0.364,0.397,573,562,870,793,0.659,0.709,38,36,33,29,5,7,0.868,0.806,2769,2761
415,Saint Louis,NC State,W 83-80 (OT),2014,1,14,1206,2013-14,2013,14,614,2013-14,2013,14,415,6875,7301,829,950,1869,2060,0.444,0.461,639,790,1268,1535,0.504,0.515,190,160,601,525,0.316,0.305,526,501,755,762,0.697,0.657,34,36,27,22,7,14,0.794,0.611,2374,2561
416,UNC,Iowa State,L 83-85,2014,0,14,507,2013-14,2013,14,50,2013-14,2013,14,416,6851,7324,953,1062,2057,2239,0.463,0.474,807,761,1623,1399,0.497,0.544,146,301,434,840,0.336,0.358,552,564,882,814,0.626,0.693,34,36,24,28,10,8,0.706,0.778,2604,2989
417,Tennessee,Mercer,W 83-63,2014,1,14,369,2013-14,2013,14,123,2013-14,2013,14,417,7450,7462,927,982,2048,2061,0.453,0.476,722,692,1417,1305,0.51,0.53,205,290,631,756,0.325,0.384,613,582,852,791,0.719,0.736,37,36,24,27,13,9,0.649,0.75,2672,2836
418,Dayton,Stanford,W 82-72,2014,1,14,372,2013-14,2013,14,484,2013-14,2013,14,418,7450,7226,935,896,2018,1950,0.463,0.459,692,688,1374,1379,0.504,0.499,243,208,644,571,0.377,0.364,558,616,819,877,0.681,0.702,37,36,26,23,11,13,0.703,0.639,2671,2616
419,Cal Poly,Texas Southern,W 81-69,2014,1,14,2196,2013-14,2013,14,554,2013-14,2013,14,419,6800,6900,754,857,1850,1854,0.408,0.462,536,640,1196,1251,0.448,0.512,218,217,654,603,0.333,0.36,415,653,603,910,0.688,0.718,34,34,14,19,20,15,0.412,0.559,2141,2584
420,St. Joseph's,UConn,L 81-89 (OT),2014,0,14,1004,2013-14,2013,14,92,2013-14,2013,14,420,6825,8050,840,971,1789,2163,0.47,0.449,590,684,1129,1422,0.523,0.481,250,287,660,741,0.379,0.387,503,644,780,829,0.645,0.777,34,40,24,32,10,8,0.706,0.8,2433,2873
421,UConn,Iowa State,W 81-76,2014,1,14,92,2013-14,2013,14,50,2013-14,2013,14,421,8050,7324,971,1062,2163,2239,0.449,0.474,684,761,1422,1399,0.481,0.544,287,301,741,840,0.387,0.358,644,564,829,814,0.777,0.693,40,36,32,28,8,8,0.8,0.778,2873,2989
422,NC State,Saint Louis,L 80-83 (OT),2014,0,14,614,2013-14,2013,14,1206,2013-14,2013,14,422,7301,6875,950,829,2060,1869,0.461,0.444,790,639,1535,1268,0.515,0.504,160,190,525,601,0.305,0.316,501,526,762,755,0.657,0.697,36,34,22,27,14,7,0.611,0.794,2561,2374
423,North Dakota St.,Oklahoma,W 80-75 (OT),2014,1,14,797,2013-14,2013,14,308,2013-14,2013,14,423,6625,6676,888,909,1759,2034,0.505,0.447,712,624,1276,1282,0.558,0.487,176,285,483,752,0.364,0.379,540,601,719,802,0.751,0.749,33,33,26,23,7,10,0.788,0.697,2492,2704
424,Kansas,Eastern Ky.,W 80-69,2014,1,14,214,2013-14,2013,14,360,2013-14,2013,14,424,7048,6824,955,881,1937,1810,0.493,0.487,766,566,1381,1003,0.555,0.564,189,315,556,807,0.34,0.39,665,600,935,798,0.711,0.752,35,34,25,24,10,10,0.714,0.706,2764,2677
425,Michigan State,Harvard,W 80-73,2014,1,14,94,2013-14,2013,14,1341,2013-14,2013,14,425,7674,6500,1024,786,2159,1691,0.474,0.465,717,602,1376,1213,0.521,0.496,307,184,783,478,0.392,0.385,515,587,728,811,0.707,0.724,38,32,29,27,9,5,0.763,0.844,2870,2343
426,UNC,Providence,W 79-77,2014,1,14,507,2013-14,2013,14,602,2013-14,2013,14,426,6851,7250,953,849,2057,1984,0.463,0.428,807,631,1623,1356,0.497,0.465,146,218,434,628,0.336,0.347,552,650,882,831,0.626,0.782,34,35,24,23,10,12,0.706,0.657,2604,2566
