"SOURCE","TARGET","tweet_number"
"FightVSNWO","cjsienna55",93743
"FightVSNWO","ILLUMINATIKILL5",93743
"FightVSNWO","idonotComply",93743
"FightVSNWO","Lukewearechange",93743
"FightVSNWO","AngeloJohnGage",93743
"FightVSNWO","Know_More_News",93743
"FightVSNWO","Obzerver77",93743
"FightVSNWO","OhRoyalOne",93743
"FightVSNWO","Urylle",93743
"FightVSNWO","ThomasHansson14",93743
"FightVSNWO","Trutherbotanyo2",93743
"FightVSNWO","bs_doe",93743
"FightVSNWO","AnonymousSage1",93743
"FightVSNWO","BillGates",93743
"Deborahcox_caye","On_The_Hook",93745
"Deborahcox_caye","Sundncefn",93745
"Deborahcox_caye","DrButtar",93746
"mousiekst","kurt_loder",93753
"anitalou_","KarluskaP",93754
"DIDNOTVOTEFOR44","DrButtar",93755
"Jody__Raman","HouOilman",93757
"Jody__Raman","dbongino",93757
"saylorgirl7","BusyDrT",93761
"RDesma3","DrButtar",93763
"proud2Busa00","martingeddes",93769
"SandyBeachessss","surf_witch",93770
"SandyBeachessss","6ex9t",93770
"SandyBeachessss","JoeBiden",93770
"SeaSchells","RealJamesWoods",93771
"SeaSchells","TheDemocrats",93771
"SeaSchells","DNC",93771
"EvelynDaniell10","greg_scott84",93772
"Nano41531872","keaton1981",93775
"Nano41531872","JeffreyGuterman",93775
"Nano41531872","realDonaldTrump",93775
"Nano41531872","VP",93775
"Nano41531872","JoDell217",93776
"Nano41531872","keaton1981",93776
"Nano41531872","JeffreyGuterman",93776
"Nano41531872","realDonaldTrump",93776
"Nano41531872","VP",93776
"Vinman2A","michellemalkin",93779
"NinaDeplorable","DrButtar",93780
"Arubakt","KThomasDC",93782
"Arubakt","HillaryClinton",93782
"aussiefortrump1","RealErinCruz",93783
"BJHeart89","DrButtar",93784
"ragst0rm","DeAnna4Congress",93785
"darloo79","WolfishHead",93786
"darloo79","99freemind",93786
"cycleJohn02","vincentbrowne",93787
"cycleJohn02","IrexitFreedom",93787
"cycleJohn02","KimiStrauss",93788
"cycleJohn02","Jimcorrsays",93788
"cycleJohn02","eire_saoirse",93788
"cycleJohn02","Razkles",93789
"cycleJohn02","FightVSNWO",93789
"cycleJohn02","whereangelsdare",93789
"cycleJohn02","Fredthefish2",93789
"cycleJohn02","Boots93059615",93789
"cycleJohn02","USlawreview",93789
"cycleJohn02","AniloDiako",93789
"cycleJohn02","End_TheFederalR",93789
"cycleJohn02","Anon__Truther",93789
"cycleJohn02","Dragonsoul9Fire",93789
"cycleJohn02","cjsienna55",93789
"cycleJohn02","ILLUMINATIKILL5",93789
"cycleJohn02","idonotComply",93789
"cycleJohn02","Lukewearechange",93789
"cycleJohn02","AngeloJohnGage",93789
"cycleJohn02","Know_More_News",93789
"cycleJohn02","Obzerver77",93789
"cycleJohn02","OhRoyalOne",93789
"cycleJohn02","Urylle",93789
"cycleJohn02","ThomasHansson14",93789
"cycleJohn02","Trutherbotanyo2",93789
"cycleJohn02","bs_doe",93789
"cycleJohn02","AnonymousSage1",93789
"cycleJohn02","BillGates",93789
"Watchman7g7","DeAnna4Congress",93792
"BobWabob","trajan2448",93799
"BobWabob","chesleydohl",93799
"zachtenstevig","thierrybaudet",93802
"zachtenstevig","geertwilderspvv",93802
"zachtenstevig","THiddema",93802
"zachtenstevig","MinPres",93802
"zachtenstevig","telegraaf",93802
"zachtenstevig","RTLnieuws",93802
"FreePatriotTim","FreePatriotTim",93804
"JoVotes45","DrButtar",93806
"Rosemar42894219","mitchellvii",93810
"Rosemar42894219","lightning989",93810
"MikelDebbie","ryanstruyk",93814
"MikelDebbie","DjLots3",93814
"BarbSmith16","martingeddes",93815
"BarbSmith16","YouTube",93816
"barbran62","JNJNews",93818
"barbran62","JanssenGlobal",93818
"barbran62","JNJNews",93819
"barbran62","JanssenGlobal",93819
"barbran62","thisismash",93820
"barbran62","CT_Bergstrom",93820
"jojobear2553","DrButtar",93822
"angieLovesUSA","alaphiah",93831
"bedford_terri","DrButtar",93832
"JJCrosstrainers","RickRMehta",93835
"JJCrosstrainers","RaquelDancho",93836
"Nathendy","DerekSloanCPC",93837
"ArtGallagher7","mdcpwoodwright",93839
"ArtGallagher7","cwebbonline",93839
"ArtGallagher7","realDonaldTrump",93839
"ClearanceMajic","Breaking911",93840
"AnnaRebel10","DrButtar",93841
"WaggishDog","q_anon_patriots",93843
"DeniseInCanada","o_rips",93847
"DrThomasPaul","science_cited",93854
"DrThomasPaul","DrThomasPaul",93854
"ANCHORSEND1","YouTube",93860
"SKRIBBLES07","KYWNewsradio",93865
"pvvult","DrButtar",93866
"M01725056","CBCNews",93871
"M01725056","CTVToronto",93871
"M01725056","CP24",93871
"M01725056","CTVNews",93871
"M01725056","globalnews",93871
"M01725056","TSN_Sports",93871
"M01725056","APTNNews",93871
"M01725056","Freedom77015202",93872
"M01725056","CBCNews",93873
"M01725056","JustinTrudeau",93873
"M01725056","CTVNews",93873
"M01725056","CTVToronto",93873
"M01725056","globalnews",93873
"M01725056","globalnewsto",93873
"M01725056","APTNNews",93873
"M01725056","CP24",93873
"M01725056","City_tv",93873
"M01725056","TSN_Sports",93873
"M01725056","SportsCenter",93873
"M01725056","realDonaldTrump",93873
"M01725056","CMHC_ca",93874
"M01725056","Sportsnet",93875
"M01725056","NHLPA",93875
"M01725056","donnovanbennett",93875
"M01725056","richarddeitsch",93875
"ghailu2","PrisonPlanet",93878
"DJE2612319","DrButtar",93879
"gjscash","chuckwoolery",93883
"gjscash","steph93065",93883
"solstice420","specialkgagnon",93886
"solstice420","JustinTrudeau",93886
"AnonLoomom","martingeddes",93890
"SusieKAG","DrButtar",93891
"PaulaAlquist","DrButtar",93892
"TruthRules463","MmeFerronniere",93893
"TruthRules463","IvankaTrump",93893
"TruthRules463","bittyandbeaus",93893
"Anonymo21321693","Justsaytruthnow",93896
"Anonymo21321693","BlozikJohn",93896
"Anonymo21321693","CNNPolitics",93896
"Anonymo21321693","SpeakerPelosi",93896
"Anonymo21321693","POTUS",93896
"CrazyCatRescuer","DrButtar",93897
"DawsonMdhoust","canucklaw1",93899
"dagmar3700","KYWNewsradio",93903
"NettyAbernathy","martingeddes",93904
"Manfred_Mantago","small1988",93905
"Manfred_Mantago","Ken19512",93905
"Manfred_Mantago","tdpga",93905
"MibMark","GreyHaired07",93910
"MibMark","wester_sou",93910
"THeinrich22","DrButtar",93911
"meister_mitch","guardian",93912
"mendosuz","SpeakerPelosi",93918
"DavidA10619083","SenSanders",93919
"DavidA10619083","DrJudyAMikovits",93919
"DavidA10619083","BusyDrT",93919
"DavidA10619083","o_rips",93919
"DavidA10619083","velocirapture23",93919
"DavidA10619083","LaLaRueFrench75",93919
"DavidA10619083","mangojuliana",93919
"DavidA10619083","rsbellmedia",93919
"DavidA10619083","ViKu1111",93919
"DavidA10619083","Perpetualmaniac",93919
"DavidA10619083","BrysonVapeShop",93922
"fatso30816673","science_cited",93939
"fatso30816673","DrThomasPaul",93939
"jsantxman","RealCandaceO",93940
"HiLaElle","Forbes",93941
"marimacint","YouTube",93942
"BGailQu","KYWNewsradio",93943
"mkgoldie1","Sassychickie",93945
"mkgoldie1","tedlieu",93946
"mkgoldie1","TuckerCarlson",93946
"mkgoldie1","FoxNews",93946
"mkgoldie1","EricMMatheny",93947
"Holly1ForTrump","DrButtar",93953
"healer_warrior","martingeddes",93958
"maria65802408","YouTube",93960
"maria65802408","leandroruschel",93960
"maria65802408","bernardopkuster",93960
"maria65802408","OlavoOpressor",93960
