"team1","Schl","Result","year","outcome","Year.x","Random.x","Season.x","G.x","W.x","L.x","W.L..x","MP.x","FG.x","FGA.x","FG..x","X2P.x","X2PA.x","X2P..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","PTS.x","SeasonStart.x","Year.y","Random.y","Season.y","G.y","W.y","L.y","W.L..y","MP.y","FG.y","FGA.y","FG..y","X2P.y","X2PA.y","X2P..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","PTS.y","SeasonStart.y","Year"
"N.C. A&T","Liberty","W 73-72",2013,1,13,1512,"2012-13","37","20","17","0.541","7425","776","1927","0.403","561","1220","0.46","215","707","0.304","532","809","0.658","2299","2012",13,806,"2012-13","36","15","21","0.417","7275","838","1954","0.429","587","1285","0.457","251","669","0.375","562","770","0.73","2489","2012",13
"Wichita State","Pitt","W 73-55",2013,1,13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13,1587,"2012-13","33","24","9","0.727","6675","837","1775","0.472","674","1308","0.515","163","467","0.349","445","666","0.668","2282","2012",13
"Duke","Albany (NY)","W 73-61",2013,1,13,196,"2012-13","36","30","6","0.833","7200","960","2033","0.472","690","1357","0.508","270","676","0.399","588","796","0.739","2778","2012",13,1740,"2012-13","35","24","11","0.686","7025","761","1748","0.435","548","1173","0.467","213","575","0.37","516","700","0.737","2251","2012",13
"Ohio State","Arizona","W 73-70",2013,1,13,516,"2012-13","37","29","8","0.784","7426","928","2057","0.451","701","1419","0.494","227","638","0.356","516","729","0.708","2599","2012",13,595,"2012-13","35","27","8","0.771","7026","880","1933","0.455","611","1208","0.506","269","725","0.371","541","722","0.749","2570","2012",13
"Liberty","N.C. A&T","L 72-73",2013,0,13,806,"2012-13","36","15","21","0.417","7275","838","1954","0.429","587","1285","0.457","251","669","0.375","562","770","0.73","2489","2012",13,1512,"2012-13","37","20","17","0.541","7425","776","1927","0.403","561","1220","0.46","215","707","0.304","532","809","0.658","2299","2012",13
"Missouri","Colorado State","L 72-84",2013,0,13,547,"2012-13","34","23","11","0.676","6850","924","2015","0.459","709","1380","0.514","215","635","0.339","525","706","0.744","2588","2012",13,645,"2012-13","35","26","9","0.743","7024","881","1961","0.449","701","1429","0.491","180","532","0.338","611","855","0.715","2553","2012",13
"NC State","Temple","L 72-76",2013,0,13,298,"2012-13","35","24","11","0.686","7026","985","1987","0.496","801","1516","0.528","184","471","0.391","554","813","0.681","2708","2012",13,922,"2012-13","34","24","10","0.706","6800","851","1986","0.428","608","1246","0.488","243","740","0.328","511","707","0.723","2456","2012",13
"Butler","Marquette","L 72-74",2013,0,13,791,"2012-13","36","27","9","0.75","7226","869","1931","0.45","630","1243","0.507","239","688","0.347","518","744","0.696","2495","2012",13,1191,"2012-13","35","26","9","0.743","7100","842","1844","0.457","695","1347","0.516","147","497","0.296","551","755","0.73","2382","2012",13
"Wichita State","La Salle","W 72-58",2013,1,13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13,934,"2012-13","34","24","10","0.706","6848","871","1931","0.451","609","1236","0.493","262","695","0.377","446","605","0.737","2450","2012",13
"Louisville","Wichita State","W 72-68",2013,1,13,53,"2012-13","40","35","5","0.875","8125","1048","2300","0.456","818","1609","0.508","230","691","0.333","652","920","0.709","2978","2012",13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13
"Boise State","La Salle","L 71-80",2013,0,13,1339,"2012-13","32","21","11","0.656","6425","824","1790","0.46","575","1153","0.499","249","637","0.391","446","597","0.747","2343","2012",13,934,"2012-13","34","24","10","0.706","6848","871","1931","0.451","609","1236","0.493","262","695","0.377","446","605","0.737","2450","2012",13
"Michigan","S Dakota St.","W 71-56",2013,1,13,66,"2012-13","39","31","8","0.795","7876","1093","2260","0.484","797","1491","0.535","296","769","0.385","450","642","0.701","2932","2012",13,599,"2012-13","35","25","10","0.714","7100","910","1938","0.47","640","1244","0.514","270","694","0.389","478","627","0.762","2568","2012",13
"Villanova","UNC","L 71-78",2013,0,13,1480,"2012-13","34","20","14","0.588","6925","732","1760","0.416","528","1143","0.462","204","617","0.331","639","889","0.719","2307","2012",13,220,"2012-13","36","25","11","0.694","7225","1023","2321","0.441","751","1598","0.47","272","723","0.376","442","655","0.675","2760","2012",13
"San Diego State","Fla. Gulf Coast","L 71-81",2013,0,13,1282,"2012-13","34","23","11","0.676","6824","839","1916","0.438","637","1298","0.491","202","618","0.327","476","697","0.683","2356","2012",13,325,"2012-13","37","26","11","0.703","7475","976","2112","0.462","729","1390","0.524","247","722","0.342","497","736","0.675","2696","2012",13
"Marquette","Miami (FL)","W 71-61",2013,1,13,1191,"2012-13","35","26","9","0.743","7100","842","1844","0.457","695","1347","0.516","147","497","0.296","551","755","0.73","2382","2012",13,747,"2012-13","36","29","7","0.806","7225","895","1968","0.455","641","1267","0.506","254","701","0.362","465","680","0.684","2509","2012",13
"Duke","Michigan State","W 71-61",2013,1,13,196,"2012-13","36","30","6","0.833","7200","960","2033","0.472","690","1357","0.508","270","676","0.399","588","796","0.739","2778","2012",13,949,"2012-13","36","27","9","0.75","7199","882","1921","0.459","705","1398","0.504","177","523","0.338","507","710","0.714","2448","2012",13
"Iona","Ohio State","L 70-95",2013,0,13,257,"2012-13","34","20","14","0.588","6975","956","2106","0.454","673","1335","0.504","283","771","0.367","538","689","0.781","2733","2012",13,516,"2012-13","37","29","8","0.784","7426","928","2057","0.451","701","1419","0.494","227","638","0.356","516","729","0.708","2599","2012",13
"San Diego State","Oklahoma","W 70-55",2013,1,13,1282,"2012-13","34","23","11","0.676","6824","839","1916","0.438","637","1298","0.491","202","618","0.327","476","697","0.683","2356","2012",13,1703,"2012-13","32","20","12","0.625","6450","803","1847","0.435","644","1354","0.476","159","493","0.323","495","654","0.757","2260","2012",13
"Gonzaga","Wichita State","L 70-76",2013,0,13,324,"2012-13","35","32","3","0.914","7000","961","1934","0.497","735","1325","0.555","226","609","0.371","548","777","0.705","2696","2012",13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13
"Michigan State","Memphis","W 70-48",2013,1,13,949,"2012-13","36","27","9","0.75","7199","882","1921","0.459","705","1398","0.504","177","523","0.338","507","710","0.714","2448","2012",13,352,"2012-13","36","31","5","0.861","7251","976","2071","0.471","756","1479","0.511","220","592","0.372","509","771","0.66","2681","2012",13
"Kansas","UNC","W 70-58",2013,1,13,186,"2012-13","37","31","6","0.838","7525","985","2049","0.481","769","1455","0.529","216","594","0.364","596","809","0.737","2782","2012",13,220,"2012-13","36","25","11","0.694","7225","1023","2321","0.441","751","1598","0.47","272","723","0.376","442","655","0.675","2760","2012",13
"Arizona","Ohio State","L 70-73",2013,0,13,595,"2012-13","35","27","8","0.771","7026","880","1933","0.455","611","1208","0.506","269","725","0.371","541","722","0.749","2570","2012",13,516,"2012-13","37","29","8","0.784","7426","928","2057","0.451","701","1419","0.494","227","638","0.356","516","729","0.708","2599","2012",13
"Wichita State","Ohio State","W 70-66",2013,1,13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13,516,"2012-13","37","29","8","0.784","7426","928","2057","0.451","701","1419","0.494","227","638","0.356","516","729","0.708","2599","2012",13
"Oregon","Louisville","L 69-77",2013,0,13,404,"2012-13","37","28","9","0.757","7526","944","2110","0.447","752","1533","0.491","192","577","0.333","570","809","0.705","2650","2012",13,53,"2012-13","40","35","5","0.875","8125","1048","2300","0.456","818","1609","0.508","230","691","0.333","652","920","0.709","2978","2012",13
"James Madison","LIU","W 68-55",2013,1,13,1322,"2012-13","36","21","15","0.583","7250","818","1941","0.421","607","1313","0.462","211","628","0.336","499","714","0.699","2346","2012",13,359,"2012-13","34","20","14","0.588","6851","915","1909","0.479","669","1262","0.53","246","647","0.38","601","870","0.691","2677","2012",13
"Butler","Bucknell","W 68-56",2013,1,13,791,"2012-13","36","27","9","0.75","7226","869","1931","0.45","630","1243","0.507","239","688","0.347","518","744","0.696","2495","2012",13,1614,"2012-13","34","28","6","0.824","6800","818","1807","0.453","661","1369","0.483","157","438","0.358","484","652","0.742","2277","2012",13
"Harvard","New Mexico","W 68-62",2013,1,13,2543,"2012-13","30","20","10","0.667","6077","677","1425","0.475","486","945","0.514","191","480","0.398","504","697","0.723","2049","2012",13,1289,"2012-13","35","29","6","0.829","7050","768","1815","0.423","547","1186","0.461","221","629","0.351","598","829","0.721","2355","2012",13
"Oregon","Oklahoma State","W 68-55",2013,1,13,404,"2012-13","37","28","9","0.757","7526","944","2110","0.447","752","1533","0.491","192","577","0.333","570","809","0.705","2650","2012",13,1221,"2012-13","33","24","9","0.727","6725","814","1854","0.439","631","1274","0.495","183","580","0.316","560","751","0.746","2371","2012",13
"Georgetown","Fla. Gulf Coast","L 68-78",2013,0,13,2472,"2012-13","32","25","7","0.781","6500","737","1627","0.453","548","1091","0.502","189","536","0.353","407","599","0.679","2070","2012",13,325,"2012-13","37","26","11","0.703","7475","976","2112","0.462","729","1390","0.524","247","722","0.342","497","736","0.675","2696","2012",13
"Wichita State","Louisville","L 68-72",2013,0,13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13,53,"2012-13","40","35","5","0.875","8125","1048","2300","0.456","818","1609","0.508","230","691","0.333","652","920","0.709","2978","2012",13
"Saint Mary's","Middle Tenn.","W 67-54",2013,1,13,497,"2012-13","35","28","7","0.8","7026","910","1939","0.469","637","1211","0.526","273","728","0.375","517","713","0.725","2610","2012",13,1108,"2012-13","34","28","6","0.824","6850","848","1835","0.462","667","1355","0.492","181","480","0.377","528","759","0.696","2405","2012",13
"Creighton","Cincinnati","W 67-63",2013,1,13,354,"2012-13","36","28","8","0.778","7199","942","1882","0.501","635","1140","0.557","307","742","0.414","489","644","0.759","2680","2012",13,1696,"2012-13","34","22","12","0.647","6875","791","1963","0.403","561","1234","0.455","230","729","0.316","450","696","0.647","2262","2012",13
"Syracuse","California","W 66-60",2013,1,13,150,"2012-13","40","30","10","0.75","8050","1007","2293","0.439","774","1597","0.485","233","696","0.335","569","843","0.675","2816","2012",13,1873,"2012-13","33","21","12","0.636","6624","833","1875","0.444","699","1432","0.488","134","443","0.302","418","585","0.715","2218","2012",13
"Duke","Creighton","W 66-50",2013,1,13,196,"2012-13","36","30","6","0.833","7200","960","2033","0.472","690","1357","0.508","270","676","0.399","588","796","0.739","2778","2012",13,354,"2012-13","36","28","8","0.778","7199","942","1882","0.501","635","1140","0.557","307","742","0.414","489","644","0.759","2680","2012",13
"Ohio State","Wichita State","L 66-70",2013,0,13,516,"2012-13","37","29","8","0.784","7426","928","2057","0.451","701","1419","0.494","227","638","0.356","516","729","0.708","2599","2012",13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13
"Michigan State","Valparaiso","W 65-54",2013,1,13,949,"2012-13","36","27","9","0.75","7199","882","1921","0.459","705","1398","0.504","177","523","0.338","507","710","0.714","2448","2012",13,1051,"2012-13","34","26","8","0.765","6824","823","1699","0.484","570","1019","0.559","253","680","0.372","521","713","0.731","2420","2012",13
"Belmont","Arizona","L 64-81",2013,0,13,690,"2012-13","33","26","7","0.788","6625","906","1844","0.491","627","1115","0.562","279","729","0.383","442","604","0.732","2533","2012",13,595,"2012-13","35","27","8","0.771","7026","880","1933","0.455","611","1208","0.506","269","725","0.371","541","722","0.749","2570","2012",13
"California","UNLV","W 64-61",2013,1,13,1873,"2012-13","33","21","12","0.636","6624","833","1875","0.444","699","1432","0.488","134","443","0.302","418","585","0.715","2218","2012",13,787,"2012-13","35","25","10","0.714","7024","872","2002","0.436","645","1313","0.491","227","689","0.329","525","747","0.703","2496","2012",13
"Gonzaga","Southern","W 64-58",2013,1,13,324,"2012-13","35","32","3","0.914","7000","961","1934","0.497","735","1325","0.555","226","609","0.371","548","777","0.705","2696","2012",13,1848,"2012-13","33","23","10","0.697","6599","761","1757","0.433","535","1138","0.47","226","619","0.365","475","689","0.689","2223","2012",13
"Saint Louis","New Mexico St.","W 64-44",2013,1,13,1164,"2012-13","35","28","7","0.8","7050","808","1812","0.446","598","1195","0.5","210","617","0.34","562","798","0.704","2388","2012",13,1288,"2012-13","35","24","11","0.686","7050","832","1828","0.455","695","1390","0.5","137","438","0.313","554","845","0.656","2355","2012",13
"Kansas","Western Ky.","W 64-57",2013,1,13,186,"2012-13","37","31","6","0.838","7525","985","2049","0.481","769","1455","0.529","216","594","0.364","596","809","0.737","2782","2012",13,1096,"2012-13","36","20","16","0.556","7225","837","1959","0.427","611","1250","0.489","226","709","0.319","509","755","0.674","2409","2012",13
"Minnesota","Florida","L 64-78",2013,0,13,1365,"2012-13","34","21","13","0.618","6825","815","1838","0.443","631","1292","0.488","184","546","0.337","523","764","0.685","2337","2012",13,415,"2012-13","37","29","8","0.784","7400","960","2010","0.478","660","1216","0.543","300","794","0.378","422","623","0.677","2642","2012",13
"Cincinnati","Creighton","L 63-67",2013,0,13,1696,"2012-13","34","22","12","0.647","6875","791","1963","0.403","561","1234","0.455","230","729","0.316","450","696","0.647","2262","2012",13,354,"2012-13","36","28","8","0.778","7199","942","1882","0.501","635","1140","0.557","307","742","0.414","489","644","0.759","2680","2012",13
"La Salle","Kansas State","W 63-61",2013,1,13,934,"2012-13","34","24","10","0.706","6848","871","1931","0.451","609","1236","0.493","262","695","0.377","446","605","0.737","2450","2012",13,1075,"2012-13","35","27","8","0.771","7000","872","2002","0.436","634","1344","0.472","238","658","0.362","432","631","0.685","2414","2012",13
"UCLA","Minnesota","L 63-83",2013,0,13,506,"2012-13","35","25","10","0.714","7100","961","2131","0.451","790","1617","0.489","171","514","0.333","511","706","0.724","2604","2012",13,1365,"2012-13","34","21","13","0.618","6825","815","1838","0.443","631","1292","0.488","184","546","0.337","523","764","0.685","2337","2012",13
"Miami (FL)","Illinois","W 63-59",2013,1,13,747,"2012-13","36","29","7","0.806","7225","895","1968","0.455","641","1267","0.506","254","701","0.362","465","680","0.684","2509","2012",13,891,"2012-13","36","23","13","0.639","7225","858","2084","0.412","578","1211","0.477","280","873","0.321","469","646","0.726","2465","2012",13
"Duke","Louisville","L 63-85",2013,0,13,196,"2012-13","36","30","6","0.833","7200","960","2033","0.472","690","1357","0.508","270","676","0.399","588","796","0.739","2778","2012",13,53,"2012-13","40","35","5","0.875","8125","1048","2300","0.456","818","1609","0.508","230","691","0.333","652","920","0.709","2978","2012",13
"New Mexico","Harvard","L 62-68",2013,0,13,1289,"2012-13","35","29","6","0.829","7050","768","1815","0.423","547","1186","0.461","221","629","0.351","598","829","0.721","2355","2012",13,2543,"2012-13","30","20","10","0.667","6077","677","1425","0.475","486","945","0.514","191","480","0.398","504","697","0.723","2049","2012",13
"James Madison","Indiana","L 62-83",2013,0,13,1322,"2012-13","36","21","15","0.583","7250","818","1941","0.421","607","1313","0.462","211","628","0.336","499","714","0.699","2346","2012",13,132,"2012-13","36","29","7","0.806","7253","951","1971","0.482","694","1334","0.52","257","637","0.403","672","904","0.743","2831","2012",13
"Florida","Fla. Gulf Coast","W 62-50",2013,1,13,415,"2012-13","37","29","8","0.784","7400","960","2010","0.478","660","1216","0.543","300","794","0.378","422","623","0.677","2642","2012",13,325,"2012-13","37","26","11","0.703","7475","976","2112","0.462","729","1390","0.524","247","722","0.342","497","736","0.675","2696","2012",13
"UNLV","California","L 61-64",2013,0,13,787,"2012-13","35","25","10","0.714","7024","872","2002","0.436","645","1313","0.491","227","689","0.329","525","747","0.703","2496","2012",13,1873,"2012-13","33","21","12","0.636","6624","833","1875","0.444","699","1432","0.488","134","443","0.302","418","585","0.715","2218","2012",13
"Albany (NY)","Duke","L 61-73",2013,0,13,1740,"2012-13","35","24","11","0.686","7025","761","1748","0.435","548","1173","0.467","213","575","0.37","516","700","0.737","2251","2012",13,196,"2012-13","36","30","6","0.833","7200","960","2033","0.472","690","1357","0.508","270","676","0.399","588","796","0.739","2778","2012",13
"Kansas State","La Salle","L 61-63",2013,0,13,1075,"2012-13","35","27","8","0.771","7000","872","2002","0.436","634","1344","0.472","238","658","0.362","432","631","0.685","2414","2012",13,934,"2012-13","34","24","10","0.706","6848","871","1931","0.451","609","1236","0.493","262","695","0.377","446","605","0.737","2450","2012",13
"Syracuse","Indiana","W 61-50",2013,1,13,150,"2012-13","40","30","10","0.75","8050","1007","2293","0.439","774","1597","0.485","233","696","0.335","569","843","0.675","2816","2012",13,132,"2012-13","36","29","7","0.806","7253","951","1971","0.482","694","1334","0.52","257","637","0.403","672","904","0.743","2831","2012",13
"Miami (FL)","Marquette","L 61-71",2013,0,13,747,"2012-13","36","29","7","0.806","7225","895","1968","0.455","641","1267","0.506","254","701","0.362","465","680","0.684","2509","2012",13,1191,"2012-13","35","26","9","0.743","7100","842","1844","0.457","695","1347","0.516","147","497","0.296","551","755","0.73","2382","2012",13
"Michigan State","Duke","L 61-71",2013,0,13,949,"2012-13","36","27","9","0.75","7199","882","1921","0.459","705","1398","0.504","177","523","0.338","507","710","0.714","2448","2012",13,196,"2012-13","36","30","6","0.833","7200","960","2033","0.472","690","1357","0.508","270","676","0.399","588","796","0.739","2778","2012",13
"Michigan","Syracuse","W 61-56",2013,1,13,66,"2012-13","39","31","8","0.795","7876","1093","2260","0.484","797","1491","0.535","296","769","0.385","450","642","0.701","2932","2012",13,150,"2012-13","40","30","10","0.75","8050","1007","2293","0.439","774","1597","0.485","233","696","0.335","569","843","0.675","2816","2012",13
"California","Syracuse","L 60-66",2013,0,13,1873,"2012-13","33","21","12","0.636","6624","833","1875","0.444","699","1432","0.488","134","443","0.302","418","585","0.715","2218","2012",13,150,"2012-13","40","30","10","0.75","8050","1007","2293","0.439","774","1597","0.485","233","696","0.335","569","843","0.675","2816","2012",13
"Marquette","Davidson","W 59-58",2013,1,13,1191,"2012-13","35","26","9","0.743","7100","842","1844","0.457","695","1347","0.516","147","497","0.296","551","755","0.73","2382","2012",13,802,"2012-13","34","26","8","0.765","6825","837","1813","0.462","581","1119","0.519","256","694","0.369","560","704","0.795","2490","2012",13
"Illinois","Miami (FL)","L 59-63",2013,0,13,891,"2012-13","36","23","13","0.639","7225","858","2084","0.412","578","1211","0.477","280","873","0.321","469","646","0.726","2465","2012",13,747,"2012-13","36","29","7","0.806","7225","895","1968","0.455","641","1267","0.506","254","701","0.362","465","680","0.684","2509","2012",13
"Florida","Michigan","L 59-79",2013,0,13,415,"2012-13","37","29","8","0.784","7400","960","2010","0.478","660","1216","0.543","300","794","0.378","422","623","0.677","2642","2012",13,66,"2012-13","39","31","8","0.795","7876","1093","2260","0.484","797","1491","0.535","296","769","0.385","450","642","0.701","2932","2012",13
"Davidson","Marquette","L 58-59",2013,0,13,802,"2012-13","34","26","8","0.765","6825","837","1813","0.462","581","1119","0.519","256","694","0.369","560","704","0.795","2490","2012",13,1191,"2012-13","35","26","9","0.743","7100","842","1844","0.457","695","1347","0.516","147","497","0.296","551","755","0.73","2382","2012",13
"Southern","Gonzaga","L 58-64",2013,0,13,1848,"2012-13","33","23","10","0.697","6599","761","1757","0.433","535","1138","0.47","226","619","0.365","475","689","0.689","2223","2012",13,324,"2012-13","35","32","3","0.914","7000","961","1934","0.497","735","1325","0.555","226","609","0.371","548","777","0.705","2696","2012",13
"Notre Dame","Iowa State","L 58-76",2013,0,13,935,"2012-13","35","25","10","0.714","7199","892","1929","0.462","664","1312","0.506","228","617","0.37","438","618","0.709","2450","2012",13,193,"2012-13","35","23","12","0.657","7100","962","2111","0.456","616","1187","0.519","346","924","0.374","509","696","0.731","2779","2012",13
"Indiana","Temple","W 58-52",2013,1,13,132,"2012-13","36","29","7","0.806","7253","951","1971","0.482","694","1334","0.52","257","637","0.403","672","904","0.743","2831","2012",13,922,"2012-13","34","24","10","0.706","6800","851","1986","0.428","608","1246","0.488","243","740","0.328","511","707","0.723","2456","2012",13
"UNC","Kansas","L 58-70",2013,0,13,220,"2012-13","36","25","11","0.694","7225","1023","2321","0.441","751","1598","0.47","272","723","0.376","442","655","0.675","2760","2012",13,186,"2012-13","37","31","6","0.838","7525","985","2049","0.481","769","1455","0.529","216","594","0.364","596","809","0.737","2782","2012",13
"La Salle","Wichita State","L 58-72",2013,0,13,934,"2012-13","34","24","10","0.706","6848","871","1931","0.451","609","1236","0.493","262","695","0.377","446","605","0.737","2450","2012",13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13
"Illinois","Colorado","W 57-49",2013,1,13,891,"2012-13","36","23","13","0.639","7225","858","2084","0.412","578","1211","0.477","280","873","0.321","469","646","0.726","2465","2012",13,1823,"2012-13","33","21","12","0.636","6700","775","1788","0.433","597","1271","0.47","178","517","0.344","502","732","0.686","2230","2012",13
"Western Ky.","Kansas","L 57-64",2013,0,13,1096,"2012-13","36","20","16","0.556","7225","837","1959","0.427","611","1250","0.489","226","709","0.319","509","755","0.674","2409","2012",13,186,"2012-13","37","31","6","0.838","7525","985","2049","0.481","769","1455","0.529","216","594","0.364","596","809","0.737","2782","2012",13
"Ole Miss","Wisconsin","W 57-46",2013,1,13,194,"2012-13","36","27","9","0.75","7275","977","2230","0.438","739","1495","0.494","238","735","0.324","587","866","0.678","2779","2012",13,1636,"2012-13","35","23","12","0.657","7100","823","1960","0.42","564","1175","0.48","259","785","0.33","369","582","0.634","2274","2012",13
"Saint Louis","Oregon","L 57-74",2013,0,13,1164,"2012-13","35","28","7","0.8","7050","808","1812","0.446","598","1195","0.5","210","617","0.34","562","798","0.704","2388","2012",13,404,"2012-13","37","28","9","0.757","7526","944","2110","0.447","752","1533","0.491","192","577","0.333","570","809","0.705","2650","2012",13
"Bucknell","Butler","L 56-68",2013,0,13,1614,"2012-13","34","28","6","0.824","6800","818","1807","0.453","661","1369","0.483","157","438","0.358","484","652","0.742","2277","2012",13,791,"2012-13","36","27","9","0.75","7226","869","1931","0.45","630","1243","0.507","239","688","0.347","518","744","0.696","2495","2012",13
"S Dakota St.","Michigan","L 56-71",2013,0,13,599,"2012-13","35","25","10","0.714","7100","910","1938","0.47","640","1244","0.514","270","694","0.389","478","627","0.762","2568","2012",13,66,"2012-13","39","31","8","0.795","7876","1093","2260","0.484","797","1491","0.535","296","769","0.385","450","642","0.701","2932","2012",13
"Colorado State","Louisville","L 56-82",2013,0,13,645,"2012-13","35","26","9","0.743","7024","881","1961","0.449","701","1429","0.491","180","532","0.338","611","855","0.715","2553","2012",13,53,"2012-13","40","35","5","0.875","8125","1048","2300","0.456","818","1609","0.508","230","691","0.333","652","920","0.709","2978","2012",13
"Syracuse","Michigan","L 56-61",2013,0,13,150,"2012-13","40","30","10","0.75","8050","1007","2293","0.439","774","1597","0.485","233","696","0.335","569","843","0.675","2816","2012",13,66,"2012-13","39","31","8","0.795","7876","1093","2260","0.484","797","1491","0.535","296","769","0.385","450","642","0.701","2932","2012",13
"LIU","James Madison","L 55-68",2013,0,13,359,"2012-13","34","20","14","0.588","6851","915","1909","0.479","669","1262","0.53","246","647","0.38","601","870","0.691","2677","2012",13,1322,"2012-13","36","21","15","0.583","7250","818","1941","0.421","607","1313","0.462","211","628","0.336","499","714","0.699","2346","2012",13
"Oklahoma State","Oregon","L 55-68",2013,0,13,1221,"2012-13","33","24","9","0.727","6725","814","1854","0.439","631","1274","0.495","183","580","0.316","560","751","0.746","2371","2012",13,404,"2012-13","37","28","9","0.757","7526","944","2110","0.447","752","1533","0.491","192","577","0.333","570","809","0.705","2650","2012",13
"Pitt","Wichita State","L 55-73",2013,0,13,1587,"2012-13","33","24","9","0.727","6675","837","1775","0.472","674","1308","0.515","163","467","0.349","445","666","0.668","2282","2012",13,283,"2012-13","39","30","9","0.769","7800","954","2166","0.44","695","1401","0.496","259","765","0.339","553","791","0.699","2720","2012",13
"Oklahoma","San Diego State","L 55-70",2013,0,13,1703,"2012-13","32","20","12","0.625","6450","803","1847","0.435","644","1354","0.476","159","493","0.323","495","654","0.757","2260","2012",13,1282,"2012-13","34","23","11","0.676","6824","839","1916","0.438","637","1298","0.491","202","618","0.327","476","697","0.683","2356","2012",13
"Syracuse","Marquette","W 55-39",2013,1,13,150,"2012-13","40","30","10","0.75","8050","1007","2293","0.439","774","1597","0.485","233","696","0.335","569","843","0.675","2816","2012",13,1191,"2012-13","35","26","9","0.743","7100","842","1844","0.457","695","1347","0.516","147","497","0.296","551","755","0.73","2382","2012",13
"Middle Tenn.","Saint Mary's","L 54-67",2013,0,13,1108,"2012-13","34","28","6","0.824","6850","848","1835","0.462","667","1355","0.492","181","480","0.377","528","759","0.696","2405","2012",13,497,"2012-13","35","28","7","0.8","7026","910","1939","0.469","637","1211","0.526","273","728","0.375","517","713","0.725","2610","2012",13
"Memphis","Saint Mary's","W 54-52",2013,1,13,352,"2012-13","36","31","5","0.861","7251","976","2071","0.471","756","1479","0.511","220","592","0.372","509","771","0.66","2681","2012",13,497,"2012-13","35","28","7","0.8","7026","910","1939","0.469","637","1211","0.526","273","728","0.375","517","713","0.725","2610","2012",13
"Valparaiso","Michigan State","L 54-65",2013,0,13,1051,"2012-13","34","26","8","0.765","6824","823","1699","0.484","570","1019","0.559","253","680","0.372","521","713","0.731","2420","2012",13,949,"2012-13","36","27","9","0.75","7199","882","1921","0.459","705","1398","0.504","177","523","0.338","507","710","0.714","2448","2012",13
"VCU","Michigan","L 53-78",2013,0,13,209,"2012-13","36","27","9","0.75","7252","1010","2243","0.45","729","1443","0.505","281","800","0.351","469","669","0.701","2770","2012",13,66,"2012-13","39","31","8","0.795","7876","1093","2260","0.484","797","1491","0.535","296","769","0.385","450","642","0.701","2932","2012",13
"Saint Mary's","Memphis","L 52-54",2013,0,13,497,"2012-13","35","28","7","0.8","7026","910","1939","0.469","637","1211","0.526","273","728","0.375","517","713","0.725","2610","2012",13,352,"2012-13","36","31","5","0.861","7251","976","2071","0.471","756","1479","0.511","220","592","0.372","509","771","0.66","2681","2012",13
"Temple","Indiana","L 52-58",2013,0,13,922,"2012-13","34","24","10","0.706","6800","851","1986","0.428","608","1246","0.488","243","740","0.328","511","707","0.723","2456","2012",13,132,"2012-13","36","29","7","0.806","7253","951","1971","0.482","694","1334","0.52","257","637","0.403","672","904","0.743","2831","2012",13
"Harvard","Arizona","L 51-74",2013,0,13,2543,"2012-13","30","20","10","0.667","6077","677","1425","0.475","486","945","0.514","191","480","0.398","504","697","0.723","2049","2012",13,595,"2012-13","35","27","8","0.771","7026","880","1933","0.455","611","1208","0.506","269","725","0.371","541","722","0.749","2570","2012",13
"Creighton","Duke","L 50-66",2013,0,13,354,"2012-13","36","28","8","0.778","7199","942","1882","0.501","635","1140","0.557","307","742","0.414","489","644","0.759","2680","2012",13,196,"2012-13","36","30","6","0.833","7200","960","2033","0.472","690","1357","0.508","270","676","0.399","588","796","0.739","2778","2012",13
"Indiana","Syracuse","L 50-61",2013,0,13,132,"2012-13","36","29","7","0.806","7253","951","1971","0.482","694","1334","0.52","257","637","0.403","672","904","0.743","2831","2012",13,150,"2012-13","40","30","10","0.75","8050","1007","2293","0.439","774","1597","0.485","233","696","0.335","569","843","0.675","2816","2012",13
"Fla. Gulf Coast","Florida","L 50-62",2013,0,13,325,"2012-13","37","26","11","0.703","7475","976","2112","0.462","729","1390","0.524","247","722","0.342","497","736","0.675","2696","2012",13,415,"2012-13","37","29","8","0.784","7400","960","2010","0.478","660","1216","0.543","300","794","0.378","422","623","0.677","2642","2012",13
