"team1","Schl","Result","year","outcome","Year.x","Random.x","Season.x","G.x","W.x","L.x","W.L..x","MP.x","FG.x","FGA.x","FG..x","X2P.x","X2PA.x","X2P..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","PTS.x","SeasonStart.x","Year.y","Random.y","Season.y","G.y","W.y","L.y","W.L..y","MP.y","FG.y","FGA.y","FG..y","X2P.y","X2PA.y","X2P..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","PTS.y","SeasonStart.y","Year"
"UCLA","Michigan State","W 78-76",2011,1,11,1189,"2010-11","34","23","11","0.676","6876","830","1824","0.455","657","1295","0.507","173","529","0.327","549","808","0.679","2382","2010",11,1361,"2010-11","34","19","15","0.559","6874","817","1894","0.431","597","1274","0.469","220","620","0.355","484","691","0.7","2338","2010",11
"Little Rock","UNC Asheville","L 77-81 (OT)",2011,0,11,919,"2010-11","36","19","17","0.528","7275","825","1938","0.426","583","1323","0.441","242","615","0.393","565","819","0.69","2457","2010",11,754,"2010-11","34","20","14","0.588","6951","881","1950","0.452","713","1435","0.497","168","515","0.326","576","810","0.711","2506","2010",11
"Arizona","Memphis","W 77-75",2011,1,11,78,"2010-11","38","30","8","0.789","7700","969","2064","0.469","673","1319","0.51","296","745","0.397","671","899","0.746","2905","2010",11,707,"2010-11","35","25","10","0.714","7075","891","1975","0.451","681","1336","0.51","210","639","0.329","532","782","0.68","2524","2010",11
"Syracuse","Indiana State","W 77-60",2011,1,11,598,"2010-11","35","27","8","0.771","7050","936","1983","0.472","714","1355","0.527","222","628","0.354","474","713","0.665","2568","2010",11,1731,"2010-11","34","20","14","0.588","6900","769","1793","0.429","534","1144","0.467","235","649","0.362","480","676","0.71","2253","2010",11
"Duke","Arizona","L 77-93",2011,0,11,45,"2010-11","37","32","5","0.865","7400","1040","2206","0.471","749","1428","0.525","291","778","0.374","622","826","0.753","2993","2010",11,78,"2010-11","38","30","8","0.789","7700","969","2064","0.469","673","1319","0.51","296","745","0.397","671","899","0.746","2905","2010",11
"Kansas","Richmond","W 77-57",2011,1,11,23,"2010-11","38","35","3","0.921","7625","1114","2193","0.508","843","1483","0.568","271","710","0.382","585","862","0.679","3084","2010",11,572,"2010-11","37","29","8","0.784","7450","922","2007","0.459","635","1272","0.499","287","735","0.39","446","649","0.687","2577","2010",11
"Clemson","West Virginia","L 76-84",2011,0,11,1395,"2010-11","34","22","12","0.647","6850","810","1827","0.443","593","1197","0.495","217","630","0.344","493","703","0.701","2330","2010",11,1497,"2010-11","33","21","12","0.636","6600","783","1826","0.429","577","1215","0.475","206","611","0.337","531","747","0.711","2303","2010",11
"Michigan State","UCLA","L 76-78",2011,0,11,1361,"2010-11","34","19","15","0.559","6874","817","1894","0.431","597","1274","0.469","220","620","0.355","484","691","0.7","2338","2010",11,1189,"2010-11","34","23","11","0.676","6876","830","1824","0.455","657","1295","0.507","173","529","0.327","549","808","0.679","2382","2010",11
"Purdue","VCU","L 76-94",2011,0,11,889,"2010-11","34","26","8","0.765","6825","875","1957","0.447","640","1312","0.488","235","645","0.364","481","673","0.715","2466","2010",11,100,"2010-11","40","28","12","0.7","8100","968","2228","0.434","629","1311","0.48","339","917","0.37","589","824","0.715","2864","2010",11
"Kentucky","UNC","W 76-69",2011,1,11,114,"2010-11","38","29","9","0.763","7625","1002","2183","0.459","721","1476","0.488","281","707","0.397","560","789","0.71","2845","2010",11,96,"2010-11","37","29","8","0.784","7424","1044","2317","0.451","854","1738","0.491","190","579","0.328","590","878","0.672","2868","2010",11
"Memphis","Arizona","L 75-77",2011,0,11,707,"2010-11","35","25","10","0.714","7075","891","1975","0.451","681","1336","0.51","210","639","0.329","532","782","0.68","2524","2010",11,78,"2010-11","38","30","8","0.789","7700","969","2064","0.469","673","1319","0.51","296","745","0.397","671","899","0.746","2905","2010",11
"Michigan","Tennessee","W 75-45",2011,1,11,1402,"2010-11","35","21","14","0.6","7050","847","1889","0.448","564","1085","0.52","283","804","0.352","351","502","0.699","2328","2010",11,1201,"2010-11","34","19","15","0.559","6850","837","1941","0.431","662","1358","0.487","175","583","0.3","527","770","0.684","2376","2010",11
"Ohio State","UTSA","W 75-46",2011,1,11,106,"2010-11","37","34","3","0.919","7425","1017","2059","0.494","732","1385","0.529","285","674","0.423","535","763","0.701","2854","2010",11,1181,"2010-11","34","20","14","0.588","6800","802","1871","0.429","568","1204","0.472","234","667","0.351","546","774","0.705","2384","2010",11
"BYU","Wofford","W 74-66",2011,1,11,39,"2010-11","37","32","5","0.865","7475","1019","2267","0.449","707","1402","0.504","312","865","0.361","662","865","0.765","3012","2010",11,768,"2010-11","34","21","13","0.618","6950","883","1853","0.477","686","1360","0.504","197","493","0.4","539","778","0.693","2502","2010",11
"Pitt","UNC Asheville","W 74-51",2011,1,11,734,"2010-11","34","28","6","0.824","6825","886","1866","0.475","684","1354","0.505","202","512","0.395","540","805","0.671","2514","2010",11,754,"2010-11","34","20","14","0.588","6951","881","1950","0.452","713","1435","0.497","168","515","0.326","576","810","0.711","2506","2010",11
"VCU","Georgetown","W 74-56",2011,1,11,100,"2010-11","40","28","12","0.7","8100","968","2228","0.434","629","1311","0.48","339","917","0.37","589","824","0.715","2864","2010",11,1713,"2010-11","32","21","11","0.656","6426","809","1703","0.475","586","1072","0.547","223","631","0.353","417","568","0.734","2258","2010",11
"BYU","Florida","L 74-83 (OT)",2011,0,11,39,"2010-11","37","32","5","0.865","7475","1019","2267","0.449","707","1402","0.504","312","865","0.361","662","865","0.765","3012","2010",11,377,"2010-11","37","29","8","0.784","7575","968","2083","0.465","735","1422","0.517","233","661","0.352","498","744","0.669","2667","2010",11
"UConn","San Diego State","W 74-67",2011,1,11,56,"2010-11","41","32","9","0.78","8350","1053","2429","0.434","819","1718","0.477","234","711","0.329","627","822","0.763","2967","2010",11,386,"2010-11","37","34","3","0.919","7450","991","2141","0.463","768","1502","0.511","223","639","0.349","455","653","0.697","2660","2010",11
"Butler","Florida","W 74-71 (OT)",2011,1,11,302,"2010-11","38","28","10","0.737","7700","919","2122","0.433","630","1300","0.485","289","822","0.352","580","799","0.726","2707","2010",11,377,"2010-11","37","29","8","0.784","7575","968","2083","0.465","735","1422","0.517","233","661","0.352","498","744","0.669","2667","2010",11
"Kansas State","Utah State","W 73-68",2011,1,11,851,"2010-11","34","23","11","0.676","6800","849","1939","0.438","612","1308","0.468","237","631","0.376","542","828","0.655","2477","2010",11,942,"2010-11","34","30","4","0.882","6850","840","1788","0.47","634","1226","0.517","206","562","0.367","563","764","0.737","2449","2010",11
"Illinois","UNLV","W 73-62",2011,1,11,1079,"2010-11","34","20","14","0.588","6825","894","1910","0.468","662","1310","0.505","232","600","0.387","393","539","0.729","2413","2010",11,1252,"2010-11","33","24","9","0.727","6625","842","1836","0.459","658","1278","0.515","184","558","0.33","495","718","0.689","2363","2010",11
"Florida","UCLA","W 73-65",2011,1,11,377,"2010-11","37","29","8","0.784","7575","968","2083","0.465","735","1422","0.517","233","661","0.352","498","744","0.669","2667","2010",11,1189,"2010-11","34","23","11","0.676","6876","830","1824","0.455","657","1295","0.507","173","529","0.327","549","808","0.679","2382","2010",11
"Duke","Michigan","W 73-71",2011,1,11,45,"2010-11","37","32","5","0.865","7400","1040","2206","0.471","749","1428","0.525","291","778","0.374","622","826","0.753","2993","2010",11,1402,"2010-11","35","21","14","0.6","7050","847","1889","0.448","564","1085","0.52","283","804","0.352","351","502","0.699","2328","2010",11
"Kansas","Illinois","W 73-59",2011,1,11,23,"2010-11","38","35","3","0.921","7625","1114","2193","0.508","843","1483","0.568","271","710","0.382","585","862","0.679","3084","2010",11,1079,"2010-11","34","20","14","0.588","6825","894","1910","0.468","662","1310","0.505","232","600","0.387","393","539","0.729","2413","2010",11
"Wisconsin","Belmont","W 72-58",2011,1,11,1473,"2010-11","34","25","9","0.735","6849","798","1808","0.441","520","1064","0.489","278","744","0.374","436","533","0.818","2310","2010",11,173,"2010-11","35","30","5","0.857","7050","944","2045","0.462","617","1181","0.522","327","864","0.378","575","781","0.736","2790","2010",11
"Kansas","Boston U.","W 72-53",2011,1,11,23,"2010-11","38","35","3","0.921","7625","1114","2193","0.508","843","1483","0.568","271","710","0.382","585","862","0.679","3084","2010",11,1654,"2010-11","35","21","14","0.6","7025","749","1865","0.402","484","1118","0.433","265","747","0.355","507","695","0.729","2270","2010",11
"VCU","Florida State","W 72-71 (OT)",2011,1,11,100,"2010-11","40","28","12","0.7","8100","968","2228","0.434","629","1311","0.48","339","917","0.37","589","824","0.715","2864","2010",11,1313,"2010-11","34","23","11","0.676","6825","827","1903","0.435","615","1269","0.485","212","634","0.334","482","725","0.665","2348","2010",11
"St. John's (NY)","Gonzaga","L 71-86",2011,0,11,1458,"2010-11","33","21","12","0.636","6625","807","1773","0.455","664","1346","0.493","143","427","0.335","556","783","0.71","2313","2010",11,346,"2010-11","35","25","10","0.714","7050","932","1947","0.479","729","1399","0.521","203","548","0.37","617","810","0.762","2684","2010",11
"Butler","Pitt","W 71-70",2011,1,11,302,"2010-11","38","28","10","0.737","7700","919","2122","0.433","630","1300","0.485","289","822","0.352","580","799","0.726","2707","2010",11,734,"2010-11","34","28","6","0.824","6825","886","1866","0.475","684","1354","0.505","202","512","0.395","540","805","0.671","2514","2010",11
"Kentucky","West Virginia","W 71-63",2011,1,11,114,"2010-11","38","29","9","0.763","7625","1002","2183","0.459","721","1476","0.488","281","707","0.397","560","789","0.71","2845","2010",11,1497,"2010-11","33","21","12","0.636","6600","783","1826","0.429","577","1215","0.475","206","611","0.337","531","747","0.711","2303","2010",11
"San Diego State","Temple","W 71-64 (2OT)",2011,1,11,386,"2010-11","37","34","3","0.919","7450","991","2141","0.463","768","1502","0.511","223","639","0.349","455","653","0.697","2660","2010",11,1129,"2010-11","34","26","8","0.765","6875","868","1943","0.447","662","1360","0.487","206","583","0.353","458","656","0.698","2400","2010",11
"Michigan","Duke","L 71-73",2011,0,11,1402,"2010-11","35","21","14","0.6","7050","847","1889","0.448","564","1085","0.52","283","804","0.352","351","502","0.699","2328","2010",11,45,"2010-11","37","32","5","0.865","7400","1040","2206","0.471","749","1428","0.525","291","778","0.374","622","826","0.753","2993","2010",11
"Florida State","Notre Dame","W 71-57",2011,1,11,1313,"2010-11","34","23","11","0.676","6825","827","1903","0.435","615","1269","0.485","212","634","0.334","482","725","0.665","2348","2010",11,626,"2010-11","34","27","7","0.794","6900","843","1832","0.46","570","1124","0.507","273","708","0.386","599","827","0.724","2558","2010",11
"Florida State","VCU","L 71-72 (OT)",2011,0,11,1313,"2010-11","34","23","11","0.676","6825","827","1903","0.435","615","1269","0.485","212","634","0.334","482","725","0.665","2348","2010",11,100,"2010-11","40","28","12","0.7","8100","968","2228","0.434","629","1311","0.48","339","917","0.37","589","824","0.715","2864","2010",11
"Florida","Butler","L 71-74 (OT)",2011,0,11,377,"2010-11","37","29","8","0.784","7575","968","2083","0.465","735","1422","0.517","233","661","0.352","498","744","0.669","2667","2010",11,302,"2010-11","38","28","10","0.737","7700","919","2122","0.433","630","1300","0.485","289","822","0.352","580","799","0.726","2707","2010",11
"VCU","Kansas","W 71-61",2011,1,11,100,"2010-11","40","28","12","0.7","8100","968","2228","0.434","629","1311","0.48","339","917","0.37","589","824","0.715","2864","2010",11,23,"2010-11","38","35","3","0.921","7625","1114","2193","0.508","843","1483","0.568","271","710","0.382","585","862","0.679","3084","2010",11
"Clemson","UAB","W 70-52",2011,1,11,1395,"2010-11","34","22","12","0.647","6850","810","1827","0.443","593","1197","0.495","217","630","0.344","493","703","0.701","2330","2010",11,2277,"2010-11","31","22","9","0.71","6350","756","1725","0.438","517","1027","0.503","239","698","0.342","368","513","0.717","2119","2010",11
"UTSA","Alabama State","W 70-61",2011,1,11,1181,"2010-11","34","20","14","0.588","6800","802","1871","0.429","568","1204","0.472","234","667","0.351","546","774","0.705","2384","2010",11,2171,"2010-11","35","17","18","0.486","7050","728","1841","0.395","563","1258","0.448","165","583","0.283","525","870","0.603","2146","2010",11
"Pitt","Butler","L 70-71",2011,0,11,734,"2010-11","34","28","6","0.824","6825","886","1866","0.475","684","1354","0.505","202","512","0.395","540","805","0.671","2514","2010",11,302,"2010-11","38","28","10","0.737","7700","919","2122","0.433","630","1300","0.485","289","822","0.352","580","799","0.726","2707","2010",11
"Wisconsin","Kansas State","W 70-65",2011,1,11,1473,"2010-11","34","25","9","0.735","6849","798","1808","0.441","520","1064","0.489","278","744","0.374","436","533","0.818","2310","2010",11,851,"2010-11","34","23","11","0.676","6800","849","1939","0.438","612","1308","0.468","237","631","0.376","542","828","0.655","2477","2010",11
"Arizona","Texas","W 70-69",2011,1,11,78,"2010-11","38","30","8","0.789","7700","969","2064","0.469","673","1319","0.51","296","745","0.397","671","899","0.746","2905","2010",11,314,"2010-11","36","28","8","0.778","7250","954","2099","0.455","753","1564","0.481","201","535","0.376","592","905","0.654","2701","2010",11
"Butler","VCU","W 70-62",2011,1,11,302,"2010-11","38","28","10","0.737","7700","919","2122","0.433","630","1300","0.485","289","822","0.352","580","799","0.726","2707","2010",11,100,"2010-11","40","28","12","0.7","8100","968","2228","0.434","629","1311","0.48","339","917","0.37","589","824","0.715","2864","2010",11
"Richmond","Vanderbilt","W 69-66",2011,1,11,572,"2010-11","37","29","8","0.784","7450","922","2007","0.459","635","1272","0.499","287","735","0.39","446","649","0.687","2577","2010",11,561,"2010-11","34","23","11","0.676","6875","848","1853","0.458","585","1145","0.511","263","708","0.371","622","837","0.743","2581","2010",11
"Notre Dame","Akron","W 69-56",2011,1,11,626,"2010-11","34","27","7","0.794","6900","843","1832","0.46","570","1124","0.507","273","708","0.386","599","827","0.724","2558","2010",11,706,"2010-11","36","23","13","0.639","7325","892","2073","0.43","609","1288","0.473","283","785","0.361","457","649","0.704","2524","2010",11
"UConn","Cincinnati","W 69-58",2011,1,11,56,"2010-11","41","32","9","0.78","8350","1053","2429","0.434","819","1718","0.477","234","711","0.329","627","822","0.763","2967","2010",11,1083,"2010-11","35","26","9","0.743","7025","848","1939","0.437","628","1288","0.488","220","651","0.338","496","742","0.668","2412","2010",11
"Texas","Arizona","L 69-70",2011,0,11,314,"2010-11","36","28","8","0.778","7250","954","2099","0.455","753","1564","0.481","201","535","0.376","592","905","0.654","2701","2010",11,78,"2010-11","38","30","8","0.789","7700","969","2064","0.469","673","1319","0.51","296","745","0.397","671","899","0.746","2905","2010",11
"UNC","Kentucky","L 69-76",2011,0,11,96,"2010-11","37","29","8","0.784","7424","1044","2317","0.451","854","1738","0.491","190","579","0.328","590","878","0.672","2868","2010",11,114,"2010-11","38","29","9","0.763","7625","1002","2183","0.459","721","1476","0.488","281","707","0.397","560","789","0.71","2845","2010",11
"Utah State","Kansas State","L 68-73",2011,0,11,942,"2010-11","34","30","4","0.882","6850","840","1788","0.47","634","1226","0.517","206","562","0.367","563","764","0.737","2449","2010",11,851,"2010-11","34","23","11","0.676","6800","849","1939","0.438","612","1308","0.468","237","631","0.376","542","828","0.655","2477","2010",11
